Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes;
I-1631-VE-0734;1631 Vesuvius Eruption;Unknown;Vesuvius Smoking;1632;;;;"I-1631-VE-0255 / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); I-1631-VE-0266 / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); I-1631-VE-026A / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); I-1631-VE-026D / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); I-1631-VE-0273 / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); I-1631-VE-0285 / 1631 Vesuvius Eruption / Vesuvius Smoking (Same image as); P-1631-VE-0733 / 1631 Vesuvius Eruption / De prognostico cinerum, quos Vesuvius mons, dum conflagrabatur, eructavit. Ubi inter cetera quaeritur, an ob illos sit futura pestis in hoc Regno Neapolitano sicuti tempore Titi Imperatoris successit (This document is included in)";Barbieri, Fabio;;De prognostico cinerum, quos Vesuvius mons, dum conflagrabatur, eructavit. Ubi inter cetera quaeritur, an ob illos sit futura pestis in hoc Regno Neapolitano sicuti tempore Titi Imperatoris successit;Scoriggio, Lazzaro;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.F. 019;;https://access.bl.uk/item/viewer/ark:/81055/vdc_100026299074.0x000001#?c=0&m=0&s=0&cv=0&xywh=-517%2C1017%2C2596%2C1533;;;
I-1631-VE-09FB;1631 Vesuvius Eruption;"Merian, Matthäus (engraving ); von Sandrart, Joachim  (drawing )";Eruption of the Vesuvius in 1631;1640;;Engraving;184 x 291 mm;;Zeiller, Martin ;;Itinerarium Italiæ Nov-Antiquæ;Merian, Matthäus;Frankfurt;Heidelberg, University Library diglit.54635;;https://doi.org/10.11588/diglit.54635;;;
I-1631-VE-0AB8;1631 Vesuvius Eruption;De Rosa, Pacecco;St Gennaro intercedes through the Virgin to save the city of Naples;1631;;Oil on canvas;;;;;;;;;;;;;
I-1636-ET-02B2;1636 Etna Eruption;Unknown;St Agatha of Sicily;1636;;Woodcut;;P-1636-ET-010C / 1636 Etna Eruption / Poesie di don Pietro Carrera pertinenti alle materie di Mongibello, e del sacro velo della gloriosa S. Agatha (This document is included in);Carrera, Pietro;Senato of Catania;Poesie di don Pietro Carrera pertinenti alle materie di Mongibello, e del sacro velo della gloriosa S. Agatha;Rossi, Giovanni;Catania;Zurich, ETH Library Rar 6100;;https://www.e-rara.ch/zut/pbifriedlaender/content/zoom/7271614;;;
I-1638-CA-02B4;1638 Calabria Earthquake;Unknown;Rural Landscape;1638;;Woodcut;;P-1638-CA-0110 / 1638 Calabria Earthquake / Altra vera, e più piena relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 27 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità d’innumerabili persone (This document is included in);Colla Aurigemma, Giovanni;Unknown;Altra vera, e più piena relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 27 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità d’innumerabili persone;Ferroni, Clemente;Bologna;Rome, Biblioteca Casanatense VOL MISC.387 14;;http://opac.casanatense.it/Record.htm?idlist=2&record=19073553124918917359;;;
I-1638-CA-02B5;1638 Calabria Earthquake;Unknown;City View from the Sea;1638;;Woodcut;;P-1638-CA-0111 / 1638 Calabria Earthquake / Compassionevole relazione delli spaventosi terremoti occorsi nella Calabria, et altri luoghi. Col nome delle città, e terre sommerse, e rovinate da detti terremoti. Seguiti questo presente anno 1638 alli 27 di marzo (This document is included in);Unknown;;Compassionevole relazione delli spaventosi terremoti occorsi nella Calabria, et altri luoghi. Col nome delle città, e terre sommerse, e rovinate da detti terremoti. Seguiti questo presente anno 1638 alli 27 di marzo;Nesti, Pietro;Florence;"London, British Library General Reference Collection 1578/3579; Florence, Biblioteca Nazionale Centrale V.MIS Misc.72.17";;http://access.bl.uk/item/viewer/ark:/81055/vdc_100028412043.0x000001;;;
I-1638-CA-02B6;1638 Calabria Earthquake;Unknown;Landscape with a Figure;1638;;Woodcut;;P-1638-CA-0112 / 1638 Calabria Earthquake / Vera relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 26 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità di più di cinquantamilla persone (This document is included in);Bumaldi, Antonio  Montalbani, Ovidio;Unknown;Vera relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 26 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità di più di cinquantamilla persone;Ferroni, Clemente;Bologna;"Rome, Biblioteca Casanatense VOL MISC.387 15; Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 26r-27v";;http://opac.casanatense.it/Record.htm?idlist=21&record=10124731124929429139;;;
I-1638-CA-02B7;1638 Calabria Earthquake;Unknown;City View from the Sea;1638;;Woodcut;;"I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (Same image as); I-1631-VE-0272 / 1631 Vesuvius Eruption / City View from the Sea (Same image as); I-1647-SA-02BE / 1647 Santiago Earthquake / City View from the Sea (Same image as); P-1638-CA-0113 / 1638 Calabria Earthquake / Vera relatione del spaventevole terremoto successo alli 27 di marzo su le 21 hore, nelle provincie di Calabria Citra, et Ultra. Dove si narrano tutte le rovine causate nelle città, terre, e castelli, con li nomi di essi, e con la morte delle persone (This document is included in)";Unknown;;Vera relatione del spaventevole terremoto successo alli 27 di marzo su le 21 hore, nelle provincie di Calabria Citra, et Ultra. Dove si narrano tutte le rovine causate nelle città, terre, e castelli, con li nomi di essi, e con la morte delle persone;Grignani, Lodovico;Rome;"Rome, Biblioteca Casanatense VOL MISC.288 11; Rome, Biblioteca Casanatense VOL MISC.387 13; Madrid, Biblioteca Nacional de España Mss 2369, h. 393r-396v";;https://books.google.es/books?id=EL0_AAAAcAAJ&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0;;;
I-1638-CA-02B8;1638 Calabria Earthquake;Unknown;Human Figure Measuring an Obelisk;1638;;Woodcut;;"I-1628-MA-024E / 1628 Malaga Flood / Human Figure measuring an Obelisk; Emblem of the Jesuit Order (Same image as); P-1638-CA-0114 / 1638 Calabria Earthquake / Verdadera relación del espantable terremoto, sucedido a los veynte y siete de março de 1638 a las tres horas de la tarde, en la provincia de Calabria Citerior y Ulterior, en que se cuentan las ruynas grandes, destruciones de tierras, ciudades, villas, aldeas y castillos, con sus nombres, y muertes de sus habitantes. Impressa en Roma y traduzida de italiano en castellano por Francisco de Firmamante (This document is included in)";Firmamante, Francisco de;;Verdadera relación del espantable terremoto, sucedido a los veynte y siete de março de 1638 a las tres horas de la tarde, en la provincia de Calabria Citerior y Ulterior, en que se cuentan las ruynas grandes, destruciones de tierras, ciudades, villas, aldeas y castillos, con sus nombres, y muertes de sus habitantes. Impressa en Roma y traduzida de italiano en castellano por Francisco de Firmamante;Nogués, Gabriel;Barcelona;Madrid, Biblioteca Nacional de España MSS/2369 (h.126r.-129v.);;http://bdh-rd.bne.es/viewer.vm?id=0000254676&page=1;;;
I-1638-CA-02B9;1638 Calabria Earthquake;Unknown;Emblem of the Jesuit Order;1638;;Woodcut;;P-1638-CA-0116 / 1638 Calabria Earthquake / De novo in universa Calabria terræmotu congeminatus nuncius (This document is included in);Recupito, Giulio Cesare;Barberini, Francesco;De novo in universa Calabria terræmotu congeminatus nuncius;Savio, Francesco;Naples;Florence, Biblioteca Nazionale Centrale MAGL.1.6.412./b;;https://archive.org/details/ita-bnc-mag-00000935-002/page/n6/mode/1up;;;
I-1638-CA-02BB;1638 Calabria Earthquake;Perrey, Nicolas;Frontispiece with Alegorical Figures and Coat of Arms;1640;;Engraving;210 x 280 mm;P-1638-CA-0119 / 1638 Calabria Earthquake / I terremoti delle due Calavrie, fedelissimamente descriti dal sig. Lutio d'Orsi di Belcastro, come testimonio di veduta. Con l'aggiunta delle puntualissime e distinte relationi scritte dal regio sig. consegliere Hettore Capecelatro (This document is included in);d'Orsi di Belcastro, Lutio;Capecelatro, Carlo (Duke of Seiano);I terremoti delle due Calavrie, fedelissimamente descriti dal sig. Lutio d'Orsi di Belcastro, come testimonio di veduta. Con l'aggiunta delle puntualissime e distinte relationi scritte dal regio sig. consegliere Hettore Capecelatro;Mollo,  Roberto;Naples;"Paris, Bibliothèque Nationale de France R-3183; Bari, Biblioteca Nazionale Sagarriga Visconti-Volpi MAG 102 E 0029; Foggia, Biblioteca provinciale La Magna Capitana F.S. C 71 F.A. XVII; Padua, Biblioteca del Seminario vescovile e della Facoltà teologica del Triveneto 600.ROSSA.Y.4.-17.b; Naples, Biblioteca Nazionale Vittorio Emanuele III SEZ.NAP. Vulcanologia B 10; Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 54 C 14; Naples. Biblioteca Universitaria A 252 13.2; Naples, Biblioteca della Società Napoletana di Storia Patria BANCO NAP. 05.E. 10; Naples. Biblioteca Universitaria BANCO NAP. 05.E. 10; Naples. Biblioteca Universitaria SISMICA 07.D. 026; Naples. Biblioteca Universitaria SISMICA 03.C. 033; Trani, Biblioteca comunale Giovanni Bovio";;"https://gallica.bnf.fr/ark:/12148/bpt6k841239x.r=d%27orsi%2C%20i%20terremoti?rk=21459;2";;;
I-1638-SM-02BC;1638 San Miguel Eruption;Unknown;"T and O map (Orbis Terrarum); Infernal Scene with Human Figures burning";1638;;Woodcut;;P-1638-SM-011B / 1638 San Miguel Eruption / Prodigioso volcán de fuego que exhala en medio del mar océano enfrente de la isla de San Miguel, una de las Terceras, y nueva isla que ha formado: tuvo principio en 3 de iulio deste presente año de 1638, sacada del original impresso en Madrid y aora de nuevo (This document is included in);Unknown;;Prodigioso volcán de fuego que exhala en medio del mar océano enfrente de la isla de San Miguel, una de las Terceras, y nueva isla que ha formado: tuvo principio en 3 de iulio deste presente año de 1638, sacada del original impresso en Madrid y aora de nuevo;"Matevad, Sebastian; Matevad, Jaime";Barcelona;Madrid, Biblioteca Nacional de España R/12212(21);;http://bdh-rd.bne.es/viewer.vm?id=0000064617&page=1;;;
I-1638-SM-02BD;1638 San Miguel Eruption;Unknown;Formation of the Island of San Michele;1638;;Woodcut;;P-1638-SM-011C / 1638 San Miguel Eruption / Prodigioso volcán de fuego, que exhala en medio del mar oceano, enfrente de la isla San Miguel, una de las Terceras, y nueva isla que ha formado, tuvo principio en tres de iulio deste presente año de 1638 (This document is included in);Unknown;;Prodigioso volcán de fuego, que exhala en medio del mar oceano, enfrente de la isla San Miguel, una de las Terceras, y nueva isla que ha formado, tuvo principio en tres de iulio deste presente año de 1638;Martínez, Francisco;Madrid;Madrid, Biblioteca Nacional de España MSS/2369;;http://bdh-rd.bne.es/viewer.vm?id=0000257009&page=1;;;
I-1646-PA-0533;1646 La Palma Eruption;Unknown;Nuestra Señora de las Nieves carried in procession;1646;;Oil on canvas;;;;;;;;;'Consolatrix Aflictorum / a tu presencia nevado / el Mongibelo palmense / zelos le dio al Esquilino, / nuevas glorias a Tu Nieve';;;;
I-1647-SA-02BE;1647 Santiago Earthquake;Unknown;City View from the Sea;1648;;Woodcut;;"I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (Same image as); I-1631-VE-0272 / 1631 Vesuvius Eruption / City View from the Sea (Same image as); I-1638-CA-02B7 / 1638 Calabria Earthquake / City View from the Sea (Same image as); P-1647-SA-012C / 1647 Santiago Earthquake / Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647 (This document is included in)";González Chaparro, Juan;Mascambruni, Francesco;Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647;Grignani, Lodovico;Rome;"Rome, Biblioteca Casanatense VOL MISC.387 17; Rome, Biblioteca Nazionale Centrale MISC. B.499.7; Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA MISC. 068 (8";;http://opac.casanatense.it/Record.htm?idlist=26&record=19073891124918910739;;;
I-1647-SA-02BF;1647 Santiago Earthquake;de Figueroa, Pedro;Cristo de Mayo (Señor de la Agonía);1613;;Wooden sculpture;;;;;;;;;;https://es.wikipedia.org/wiki/Cristo_de_Mayo;;;
I-1650-CU-02C1;1650 Cuzco Earthquake;Unknown;View of the City of Cusco during the Earthquake of 1650;1650;;Oil on canvas;;;;;;;;;;;;;
I-1650-CU-02C2;1650 Cuzco Earthquake;Unknown;Señor de los Temblores;1570;;Wooden sculpture;;;;;;;;;;;;;
I-1650-CU-02C3;1650 Cuzco Earthquake;Unknown;Señor de los Temblores;1740;;Oil on canvas;169,5 x 122 cm;;;;;;;;;http://www.museocolonial.gov.co/colecciones/piezas-del-mes/Paginas/Se%C3%B1or-de-los-temblores.aspx;;;
I-1654-CM-02C4;1654 Marsica Earthquake;Unknown;"Immaculate Conception; Crucifixion";1654;;Woodcut;;P-1654-CM-0137 / 1654 Marsica Earthquake / Vera relatione del terremoto successo in Terra di Lavoro, con la desolatione di molte terre. A 24 de Luglio 1654 (This document is included in);Unknown;;Vera relatione del terremoto successo in Terra di Lavoro, con la desolatione di molte terre. A 24 de Luglio 1654;Cicconio, Ettore;Naples;London, British Library General Reference Collection 444.c.41.(2.);;http://access.bl.uk/item/viewer/ark:/81055/vdc_100026994957.0x000001;;;
I-1655-LI-02C5;1655 Lima Earthquake;Unknown;Santo Cristo de Pachacamilla, or Cristo de los Milagros or de los Temblores  (processional painting);1650;;"Oil on canvas; copy from a mural painting";;;;;;;;;;https://es.wikipedia.org/wiki/Se%C3%B1or_de_los_Milagros_%28Lima%29;;;
I-1660-VE-02D4;1660 Vesuvius Eruption;Unknown;Rain of Crosses;1661;;Woodcut;;"P-1660-VE-0142 / 1660 Vesuvius Eruption / Continuatione de’ successi del prossimo incendio del Vesuvio, con gli effetti della cenere, e pietre da quello vomitate, e con la dichiaratione, &amp; espressione delle croci maravigliose apparse in varii luoghi dopo l’incendio (This document is included in)";Zupi, Giovanni Battista;Filomarino, Ascanio;"Continuatione de’ successi del prossimo incendio del Vesuvio, con gli effetti della cenere, e pietre da quello vomitate, e con la dichiaratione, &amp; espressione delle croci maravigliose apparse in varii luoghi dopo l’incendio";"Paci, Giovan Francesco; Tarino, Giovanni Alberto";Naples;"Naples, Biblioteca Nazionale Vittorio Emanuele III RACC.VILL. Misc. 16.03; Jesi, Biblioteca Comunale Planettiana CONV 3 2419/3";Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 06.E. 021 (1;;;;
I-1660-VE-061C;1660 Vesuvius Eruption;Unknown;A tree;1660;;Woodcut;;P-1660-VE-05E3 / 1660 Vesuvius Eruption / Relatione e curioso racconto del nuovo incendio del Vesuvio cavato da diffusa relatione venuta da Napoli (This document is included in);Unknown;;Relatione e curioso racconto del nuovo incendio del Vesuvio cavato da diffusa relatione venuta da Napoli;Monti, Giacomo;Bologna;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 138r-141v;;;;foto Milena;
I-1669-ET-02D6;1669 Etna Eruption;Amato, Francesco;"St Agatha of Sicily over the city of Catania during the Etna Eruption of 1669; 10 plates in the interior of the book";1669;;Engraving;;P-1669-ET-014E / 1669 Etna Eruption / Catania liberata poema del signor D. Francesco Morabito gentil'huomo catanese (This document is included in);Morabito, Francesco;Moncada, Pietro;Catania liberata poema del signor D. Francesco Morabito gentil'huomo catanese;La Rocca, Bonaventura;Catania;Rome, Biblioteca Nazionale Centrale 6. 23.D.14;;https://books.google.es/books?id=V7NJgA9uZIwC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;;
I-1669-ET-02D7;1669 Etna Eruption;Unknown;City View of Catania with Etna erupting;1669;;Engraving;;P-1669-ET-014F / 1669 Etna Eruption / Vera, e nuova relatione venuta da Catania de’ grandi incendii, e desolationi fatte dal monte Etna, overo Mongibello, da gli undeci, sino alli 30 marzo del presente anno 1669 (This document is included in);Unknown;Unknown;Vera, e nuova relatione venuta da Catania de’ grandi incendii, e desolationi fatte dal monte Etna, overo Mongibello, da gli undeci, sino alli 30 marzo del presente anno 1669;Monti, Giacomo;Bologna;"Rome, Biblioteca Casanatense VOL MISC.387 9; Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 144r-147v";;http://opac.casanatense.it/Record.htm?idlist=18&record=10124727124929429099;;;
I-1669-ET-02D8;1669 Etna Eruption;Unknown;St Agatha of Sicily;1669;;Woodcut;;P-1669-ET-0154 / 1669 Etna Eruption / Terza relatione per tutti li 16 d’aprile 1669. Del fuoco di Mongibello, e di quel che seguì (This document is included in);Squillaci, Pietro;Unknown;Terza relatione per tutti li 16 d’aprile 1669. Del fuoco di Mongibello, e di quel che seguì;Colicchia, Andrea;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.A. 049;;;;;
I-1669-ET-02D9;1669 Etna Eruption;Unknown;"View of Catania before and after the Eruption of Etna in 1669; City View of Catania";1669;;Engraving;;P-1669-ET-0157 / 1669 Etna Eruption / Breve raguaglio degl'incendi di Mongibello avvenuti in quest'anno 1669. Composto dal signor don Tomaso Tedeschi, e Paterno dottor teologo e lettore di teologia nell'Università di Catania, e sinodale esaminatore (This document is included in);Tedeschi Paternò, Tomaso;Caetani, Carlo (Baron of Villallegra and San Todaro);Breve raguaglio degl'incendi di Mongibello avvenuti in quest'anno 1669. Composto dal signor don Tomaso Tedeschi, e Paterno dottor teologo e lettore di teologia nell'Università di Catania, e sinodale esaminatore;Longo, Egidio;Naples;Zurich, ETH Library Rar 6117;Coat of arms signed 'Amato in.';https://www.e-rara.ch/zut/content/zoom/3027700;;;
I-1669-ET-02DA;1669 Etna Eruption;Donia, Francesco;View of Catania with Etna erupting;1670;;Engraving;;P-1669-ET-0158 / 1669 Etna Eruption / Historia, et meteorologia incendii Aetnaei anni 1669. Ioan. Alphonsi Borelli in Academia Pisana matheseos professoris accessit. Responsio ad censuras reu. p. honorati Fabri contra librum auctoris de vi percussionis (This document is included in);Borelli, Alfonso;Ventimiglia, Carlo;Historia, et meteorologia incendii Aetnaei anni 1669. Ioan. Alphonsi Borelli in Academia Pisana matheseos professoris accessit. Responsio ad censuras reu. p. honorati Fabri contra librum auctoris de vi percussionis;Ferro, Domenico;Reggio Calabria;Zurich, ETH Library Rar 6120;;https://www.e-rara.ch/zut/pbifriedlaender/content/zoom/7324335;;;
I-1669-ET-02DB;1669 Etna Eruption;Unknown;St Agatha of Sicily;1669;;Engraving;;P-1669-ET-0160 / 1669 Etna Eruption / Cataclysmus Ætnæus, sive inundatio ignea Ætnæ montis anni 1669 (This document is included in);Monaco, Francesco;Paternò e Celestre, Vincenzo;Cataclysmus Ætnæus, sive inundatio ignea Ætnæ montis anni 1669;Hertz, Giovanni Giacomo;Venice;London, British Library 444.b.41.;;http://access.bl.uk/item/viewer/ark:/81055/vdc_100027352944.0x000001;;;
I-1669-ET-02DC;1669 Etna Eruption;Platania, Giacinto;City View of Catania with Etna erupting;1675;;Fresco;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/7/76/1659_-_Duomo_di_Catania_-_Eruzione_dell%27Etna_del_1669_-_Foto_Giovanni_Dall%27Orto%2C_25-Jan-2006.jpg;;;
I-1669-ET-02DD;1669 Etna Eruption;Platania, Giacinto;The Virgin (Santa Maria la Scala) with Saints Venera and Tecla, with the Etna erupting in the Background;1669;;Oil on canvas;;;;;;;;;;https://www.parcoecclesialetna.it/media/opera/chiesa_s_m_la_scala_madonna_della_scala.jpg;;;
I-1669-ET-02DE;1669 Etna Eruption;Unknown;St Agatha of Sicily;1670;;Engraving;;;;;;;;;;https://catalogue.bnf.fr/ark:/12148/cb39362794z;;;
I-1669-ET-0519;1669 Etna Eruption;Unknown;Landscape with Etna erupting;1669;;Coloured woodcut;;;;;;;;;;http://bdh-rd.bne.es/viewer.vm?id=0000264913&page=1;;;
I-1671-CA-02DF;1671 Cadiz Hurricane;Unknown;Coat of Arms of the City of Cadiz;1671;;Woodcut;;P-1671-CA-0162 / 1671 Cadiz Tornado / Relación verdadera de los daños que en la ciudad de Cádiz y su bahía causó el huracán y contrastes de viento que sobrevino el domingo de Láçaro 15 de março de 1671. Con licencia y mandato de la muy noble y leal ciudad de Cádiz (This document is included in);Unknown;Unknown;Relación verdadera de los daños que en la ciudad de Cádiz y su bahía causó el huracán y contrastes de viento que sobrevino el domingo de Láçaro 15 de março de 1671. Con licencia y mandato de la muy noble y leal ciudad de Cádiz;Machado, Juan Lorenzo (Widow of);Cadiz;Granada, Universidad de Granada, Biblioteca del Hospital Real A-031-131 (34);;https://digibug.ugr.es/handle/10481/12479;;;
I-1672-AB-02E0;1672 Abruzzo Earthquake;Unknown;Madonna with Child crowned above a Fortification;1672;;Woodcut;;P-1672-AB-0166 / 1672 Abruzzo Earthquake / Vera relatione del terremoto succeduto nella provincia d’Abruzzo, et in particolare nella città dell’Aquila, terre dell’Amatrice, e Montereale (This document is included in);Unknown;Ronchelli, Carlo;Vera relatione del terremoto succeduto nella provincia d’Abruzzo, et in particolare nella città dell’Aquila, terre dell’Amatrice, e Montereale;Mollo, Francesco;Naples;"London, British Library General Reference Collection 444.c.41.(4.); Bari, Biblioteca Nazionale Sagarriga Visconti-Volpi MAG 68 D 0002 41";;https://books.google.it/books?id=MK9kAAAAcAAJ&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0;;;
I-1677-FU-02E1;1677 Fuencaliente Eruption;Unknown;Eruption of the Fuencaliente volcan;1678;;Watercolor on paper;60 x 41 cm;M-1677-FU-0901 / 1677 Fuencaliente Eruption / The Inquisitors of the Canary Islands sent the Supreme Inquisition a report on the eruption, which caused 'fright' throughout the islands and much damage in La Palma. The two-page report is accompanied by a detailed drawing of the eruption. (This document has attachment(s));;;;;;;;http://pares.mcu.es/ParesBusquedas20/catalogo/description/4571399;;da Pares Acompaña a la correspondencia enviada por el Tribunal de la Inquisición de Canarias al Consejo de la Suprema Inquisición, informándole de la erupción de un volcán, INQUISICIÓN,2376;
I-1682-VE-02E4;1682 Vesuvius Eruption;Unknown;Landscape with a Small Temple;1682;;Woodcut;;P-1682-VE-018C / 1682 Vesuvius Eruption / Relazione dell'incendio del Vesuvio seguito l'anno 1682, dalli 14 di agosto sino alli 26 del medemo (This document is included in);Unknown;Unknown;Relazione dell'incendio del Vesuvio seguito l'anno 1682, dalli 14 di agosto sino alli 26 del medemo;Ercole, Michele;Rome;London, British Library 1193.m.1.(86.);;;;;
I-1682-VE-02E5;1682 Vesuvius Eruption;"Pesche, Giovanna Dorotea; Bulifon, Antonio";"View of the Bay of Naples with the Vesuvius; Commemorative Plaque";1685;;Engraving;;;;;;;;;;https://books.google.es/books?id=zYXaKiC5dHsC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;;
I-1682-VE-02E6;1682 Vesuvius Eruption;Petrini, Paolo;View of Vesuvius with Commemorative Plaque;1682;;Engraving;235 x 120 mm;;;;;;;;;;;;
I-1682-VE-061D;1682 Vesuvius Eruption;Unknown;A burning building;1682;;Woodcut;;P-1682-VE-05A9 / 1682 Vesuvius Eruption / Relazione delll'incendio del Vesuvio seguito l'anno 1682 dalli 14 di agosto fino alli 26 del medemo (This document is included in);Unknown;;Relazione delll'incendio del Vesuvio seguito l'anno 1682 dalli 14 di agosto fino alli 26 del medemo;Sarti, Francesco Maria;Bologna;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 148r-149v;;;;foto Milena;
I-1684-SE-02E7;1684 Seville Flood;Unknown;Two Angels hold up a Cross;1684;;Woodcut;;P-1684-SE-018D / 1684 Seville Flood / Relación verdadera y copia de una carta suya escrita por un cavallero de Sevilla a un amigo suyo en esta corte, en que le da quenta de la inundación que ha padecido esta ciudad este invierno, por discurso de tres meses, los conventos, e iglesias que se han anegado, y caído, casas, y gente que ha parecido, y la forma con que han sido socorridos con barcos, que andavan por las calles, a los que no podían salir de las casas, y de la procesión que su ilustre Cabildo hizo a la santa iglesia mayor para pedir a Dios cessasse su enojo, con otras particularidades sucedidas este año de 1684 (This document is included in);Unknown;Unknown;Relación verdadera y copia de una carta suya escrita por un cavallero de Sevilla a un amigo suyo en esta corte, en que le da quenta de la inundación que ha padecido esta ciudad este invierno, por discurso de tres meses, los conventos, e iglesias que se han anegado, y caído, casas, y gente que ha parecido, y la forma con que han sido socorridos con barcos, que andavan por las calles, a los que no podían salir de las casas, y de la procesión que su ilustre Cabildo hizo a la santa iglesia mayor para pedir a Dios cessasse su enojo, con otras particularidades sucedidas este año de 1684;Unknown;Madrid;Madrid, Hemeroteca Municipal A- 1631;;;;;
I-1688-SA-02EE;1688 Sannio Earthquake;Unknown;Chivalrous Novel Scene;1688;;Woodcut;;P-1688-SA-0197 / 1688 Sannio Earthquake / Copiosissima, e distinta relatione dell’horribile, e spaventoso terremoto accaduto in Napoli, et in più parti del Regno il giorno 5 giugno 1688 co’l numero delle città, terre, et altri luoghi rovinati. Come anco delli morti, e feriti rimasti in così compassionevole tragedia. E con altre particolarità cospicue messe in questa seconda impressione, delle quali non si havea notizia alla prima (This document is included in);Unknown;;Copiosissima, e distinta relatione dell’horribile, e spaventoso terremoto accaduto in Napoli, et in più parti del Regno il giorno 5 giugno 1688 co’l numero delle città, terre, et altri luoghi rovinati. Come anco delli morti, e feriti rimasti in così compassionevole tragedia. E con altre particolarità cospicue messe in questa seconda impressione, delle quali non si havea notizia alla prima;Galazzi, Vincenzo;Todi;Rome, Biblioteca Nazionale Centrale MISC. B.499.15;;;;;
I-1688-SA-02EF;1688 Sannio Earthquake;Unknown;The vision of St Filippo Neri;1688;;Woodcut;;P-1688-SA-019F / 1688 Sannio Earthquake / Relación del prodigio obrado por San Felipe Neri en la persona del eminentísimo señor cardenal Vicente María Orsini, arçobispo de Benavento, en ocasión que se halló baxo las ruìnas de su quarto, en el terremoto, que arruìnó aquella ciudad a 5 de junio de 1688. Venida de Génova a esta ciudad, y mandóle traducir de italiano en español un devoto del Santo, para más gloria de Dios, honor del santo, y consuelo de sus devotos (This document is included in);Orsini, Vincenzo Maria (Cardinal, Bishop of Benevento);;Relación del prodigio obrado por San Felipe Neri en la persona del eminentísimo señor cardenal Vicente María Orsini, arçobispo de Benavento, en ocasión que se halló baxo las ruìnas de su quarto, en el terremoto, que arruìnó aquella ciudad a 5 de junio de 1688. Venida de Génova a esta ciudad, y mandóle traducir de italiano en español un devoto del Santo, para más gloria de Dios, honor del santo, y consuelo de sus devotos;Figueró, Rafael;Barcelona;"Montserrat, Biblioteca de la Abadia F*10*12º*7; Barcelona, Biblioteca de Catalunya F.Bon. 6005";;"https://books.google.es/books?id=myGQw3mrNpEC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0; https://mdc.csuc.cat/digital/collection/fullBonsoms/id/24558";;;
