Record;Event;Artist;Description;Date;Museum/Institution;Medium and support;Dimensions;Related images or documents;Author;Recipient/dedicatee;Title;Printer;Place;Reference copy-ies;Inscriptions;Link;Analytic tags;Private notes
I-1638-CA-02B5;1638 Calabria Earthquake;Unknown;City View from the Sea;1638;;Woodcut;;P-1638-CA-0111 / 1638 Calabria Earthquake / Compassionevole relazione delli spaventosi terremoti occorsi nella Calabria, et altri luoghi. Col nome delle città, e terre sommerse, e rovinate da detti terremoti. Seguiti questo presente anno 1638. alli 27. di marzo (This document is included in);Unknown;;Compassionevole relazione delli spaventosi terremoti occorsi nella Calabria, et altri luoghi. Col nome delle città, e terre sommerse, e rovinate da detti terremoti. Seguiti questo presente anno 1638. alli 27. di marzo;Nesti, Pietro;Florence;London, British Library General Reference Collection 1578/3579;;http://access.bl.uk/item/viewer/ark:/81055/vdc_100028412043.0x000001;;
I-1638-CA-02B6;1638 Calabria Earthquake;Unknown;Landscape with a Figure;1638;;Woodcut;;P-1638-CA-0112 / 1638 Calabria Earthquake / Vera relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 26 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità di più di cinquantamilla persone (This document is included in);Bumaldi, Antonio  [Montalbani, Ovidio];Unknown;Vera relatione de' gran prodigii e spaventosi terremoti nuovamente occorsi nell’una, e nell’altra Calabria sotto il dì 26 di marzo 1638. Col nome delle città, castelli, ville, e luoghi rovinati per causa di detto terremoto, con mortalità di più di cinquantamilla persone;Ferroni, Clemente;Bologna;"Rome, Biblioteca Casanatense VOL MISC.387 15; Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 26r-27v";;http://opac.casanatense.it/Record.htm?idlist=21&record=10124731124929429139;;
I-1638-CA-02B7;1638 Calabria Earthquake;Unknown;City View from the Sea;1638;;Woodcut;;"I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (Same image as); I-1631-VE-0272 / 1631 Vesuvius Eruption / City View from the Sea (Same image as); I-1647-SA-02BE / 1647 Santiago Earthquake / City View from the Sea (Same image as); P-1638-CA-0113 / 1638 Calabria Earthquake / Vera relatione del spaventevole terremoto successo alli 27 di marzo su le 21 hore, nelle provincie di Calabria Citra, et Ultra. Dove si narrano tutte le rovine causate nelle città, terre, e castelli, con li nomi di essi, e con la morte delle persone (This document is included in)";Unknown;;Vera relatione del spaventevole terremoto successo alli 27 di marzo su le 21 hore, nelle provincie di Calabria Citra, et Ultra. Dove si narrano tutte le rovine causate nelle città, terre, e castelli, con li nomi di essi, e con la morte delle persone;Grignani, Ludovico;Rome;"Rome, Biblioteca Casanatense VOL MISC.288 11; Rome, Biblioteca Casanatense VOL MISC.387 13; Madrid, Biblioteca Nacional de España Mss 2369, h. 393r-396v";;https://books.google.es/books?id=EL0_AAAAcAAJ&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0;;
I-1638-CA-02B8;1638 Calabria Earthquake;Unknown;Human Figure Measuring an Obelisk;1638;;Woodcut;;"I-1628-MA-024E / 1628 Malaga Flood / Human Figure measuring an Obelisk; Emblem of the Jesuit Order (Same image as); P-1638-CA-0114 / 1638 Calabria Earthquake / Verdadera relación del espantable terremoto, sucedido a los veynte y siete de março de 1638 a las tres horas de la tarde, en la provincia de Calabria Citerior y Ulterior, en que se cuentan las ruynas grandes, destruciones de tierras, ciudades, villas, aldeas y castillos, con sus nombres, y muertes de sus habitantes. Impressa en Roma y traduzida de italiano en castellano por Francisco de Firmamante (This document is included in)";Firmamante, Francisco de;;Verdadera relación del espantable terremoto, sucedido a los veynte y siete de março de 1638 a las tres horas de la tarde, en la provincia de Calabria Citerior y Ulterior, en que se cuentan las ruynas grandes, destruciones de tierras, ciudades, villas, aldeas y castillos, con sus nombres, y muertes de sus habitantes. Impressa en Roma y traduzida de italiano en castellano por Francisco de Firmamante;Nogués, Gabriel;Barcelona;Madrid, Biblioteca Nacional de España MSS/2369 (h.126r.-129v.);;http://bdh-rd.bne.es/viewer.vm?id=0000254676&page=1;;
I-1638-CA-02B9;1638 Calabria Earthquake;Unknown;Emblem of the Jesuit Order;1638;;Woodcut;;P-1638-CA-0116 / 1638 Calabria Earthquake / De novo in universa Calabria terræmotu congeminatus nuncius (This document is included in);Recupito, Giulio Cesare;Barberini, Francesco;De novo in universa Calabria terræmotu congeminatus nuncius;Savio, Francesco;Naples;Florence, Biblioteca Nazionale Centrale MAGL.1.6.412./b;;https://archive.org/details/ita-bnc-mag-00000935-002/page/n6/mode/1up;;
I-1638-CA-02BA;1638 Calabria Earthquake;Unknown;Salvator Mundi;1641;;Woodcut;;"I-1627-GA-0243 / 1627 Gargano Earthquake / Salvator Mundi (Same image as); I-1631-VE-025A / 1631 Vesuvius Eruption / Salvator Mundi (Same image as); I-1631-VE-028C / 1631 Vesuvius Eruption / Salvator Mundi (Same image as); P-1638-CA-0117 / 1638 Calabria Earthquake / Historico racconto de i terremoti della Calabria dall'anno 1638 fin’anno 41, composto dal sig. Agatio di Soma (This document is included in)";Di Somma, Agazio;Boncompagni, Francesco (Archbishop of Naples);Historico racconto de i terremoti della Calabria dall'anno 1638 fin’anno 41, composto dal sig. Agatio di Soma;Cavallo, Camillo;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III XXIX*A 110;;https://books.google.es/books?id=LH85AAAAcAAJ&printsec=frontcover&dq=inauthor:%22Agazio+Di+Somma%22&hl=ca&sa=X&ved=0ahUKEwjhgJDGqt_iAhUpBWMBHff1AgUQ6AEINDAC;;
I-1638-CA-02BB;1638 Calabria Earthquake;Perrey, Nicolas;Frontispiece with Alegorical Figures and Coat of Arms;1640;;Engraving;210 x 280 mm;P-1638-CA-0119 / 1638 Calabria Earthquake / I terremoti delle due Calavrie, fedelissimamente descriti dal sig. Lutio d'Orsi di Belcastro, come testimonio di veduta. Con l'aggiunta delle puntualissime e distinte relationi scritte dal regio sig. consegliere Hettore Capecelatro (This document is included in);d'Orsi di Belcastro, Lutio;Capecelatro, Carlo (Duke of Seiano);I terremoti delle due Calavrie, fedelissimamente descriti dal sig. Lutio d'Orsi di Belcastro, come testimonio di veduta. Con l'aggiunta delle puntualissime e distinte relationi scritte dal regio sig. consegliere Hettore Capecelatro;Mollo,  Roberto;Naples;Paris, Bibliothèque Nationale de France R-3183;;"https://gallica.bnf.fr/ark:/12148/bpt6k841239x.r=d%27orsi%2C%20i%20terremoti?rk=21459;2";;
I-1638-SM-02BC;1638 San Miguel Eruption;Unknown;"T and O map (Orbis Terrarum); Infernal Scene with Human Figures burning";1638;;Woodcut;;P-1638-SM-011B / 1638 San Miguel Eruption / Prodigioso volcán de fuego que exhala en medio del mar océano enfrente de la isla de San Miguel, una de las Terceras, y nueva isla que ha formado: tuvo principio en 3 de iulio deste presente año de 1638, sacada del original impresso en Madrid y aora de nuevo (This document is included in);Unknown;;Prodigioso volcán de fuego que exhala en medio del mar océano enfrente de la isla de San Miguel, una de las Terceras, y nueva isla que ha formado: tuvo principio en 3 de iulio deste presente año de 1638, sacada del original impresso en Madrid y aora de nuevo;"Matevad, Sebastian; Matevad, Jaime";Barcelona;Madrid, Biblioteca Nacional de España R/12212(21);;http://bdh-rd.bne.es/viewer.vm?id=0000064617&page=1;;
I-1638-SM-02BD;1638 San Miguel Eruption;Unknown;Formation of the Island of San Michele;1638;;Woodcut;;P-1638-SM-011C / 1638 San Miguel Eruption / Prodigioso volcán de fuego, que exhala en medio del mar oceano, enfrente de la isla San Miguel, una de las Terceras, y nueva isla que ha formado, tuvo principio en tres de iulio deste presente año de 1638 (This document is included in);Unknown;;Prodigioso volcán de fuego, que exhala en medio del mar oceano, enfrente de la isla San Miguel, una de las Terceras, y nueva isla que ha formado, tuvo principio en tres de iulio deste presente año de 1638;Martínez, Francisco;Madrid;Madrid, Biblioteca Nacional de España MSS/2369;;http://bdh-rd.bne.es/viewer.vm?id=0000257009&page=1;;
I-1646-PA-0533;1646 La Palma Eruption;Unknown;Nuestra Señora de las Nieves carried in procession;after 1646;;Oil on canvas;;;;;;;;;'Consolatrix Aflictorum / a tu presencia nevado / el Mongibelo palmense / zelos le dio al Esquilino, / nuevas glorias a Tu Nieve';;;
I-1647-SA-02BE;1647 Santiago Earthquake;Unknown;City View from the Sea;1648;;Woodcut;;"I-1630-SM-0251 / 1630 San Miguel Eruption / City View from the Sea (Same image as); I-1631-VE-0272 / 1631 Vesuvius Eruption / City View from the Sea (Same image as); I-1638-CA-02B7 / 1638 Calabria Earthquake / City View from the Sea (Same image as); P-1647-SA-012C / 1647 Santiago Earthquake / Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647 (This document is included in)";González Chaparro, Juan;Mascambruni, Francesco;Lettera del P. Gio. Gonzalez Ciaparro della Compagnia di Giesù scritta al P. Alonso d'Ovaglie del Manzano dela medesima Compagnia, Procuratore della vice-provincia del Cile nell'Indie Occidentali ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647;Grignani, Ludovico;Rome;Rome, Biblioteca Casanatense VOL MISC.387 17;;http://opac.casanatense.it/Record.htm?idlist=26&record=19073891124918910739;;
I-1647-SA-02BF;1647 Santiago Earthquake;de Figueroa, Pedro;Cristo de Mayo (Señor de la Agonía);1613;;Wooden sculpture;;;;;;;;;;https://es.wikipedia.org/wiki/Cristo_de_Mayo;;
I-1649-SE-02C0;1649 Seville Plague;Unknown;The Hospital of Cinco Llagas during the Plague of 1649;1650-1700;;Oil on canvas;136 x 196 cm;;;;;;;;;https://sevilla.abc.es/pasionensevilla/actualidad/noticias/las-cofradias-tiempo-la-peste-122149-1516834399.html;;
I-1650-CU-02C1;1650 Cuzco Earthquake;Unknown;View of the City of Cusco during the Earthquake of 1650;1650-1700;;Oil on canvas;;;;;;;;;;;;
I-1650-CU-02C2;1650 Cuzco Earthquake;Unknown;Señor de los Temblores;1570-1585;;Wooden sculpture;;;;;;;;;;;;
I-1650-CU-02C3;1650 Cuzco Earthquake;Unknown;Señor de los Temblores;1740-1760;;Oil on canvas;169,5 x 122 cm;;;;;;;;;http://www.museocolonial.gov.co/colecciones/piezas-del-mes/Paginas/Se%C3%B1or-de-los-temblores.aspx;;
I-1654-CM-02C4;1654 Ciociaria and Marsica Earthquake;Unknown;"Immaculate Conception; Crucifixion";1654;;Woodcut;;P-1654-CM-0137 / 1654 Ciociaria and Marsica Earthquake / Vera relatione del terremoto successo in Terra di Lavoro, con la desolatione di molte terre. A 24 de Luglio 1654 (This document is included in);Unknown;;Vera relatione del terremoto successo in Terra di Lavoro, con la desolatione di molte terre. A 24 de Luglio 1654;Cicconio, Ettore;Naples;London, British Library General Reference Collection 444.c.41.(2.);;http://access.bl.uk/item/viewer/ark:/81055/vdc_100026994957.0x000001;;
I-1655-LI-02C5;1655 Lima Earthquake;Unknown;Santo Cristo de Pachacamilla, or Cristo de los Milagros or de los Temblores  (processional painting);1650-1700;;"Oil on canvas; copy from a mural painting";;;;;;;;;;https://es.wikipedia.org/wiki/Se%C3%B1or_de_los_Milagros_%28Lima%29;;
I-1656-NA-02C6;1656 Naples Plague;Unknown;Emblem;1674;;Woodcut;;P-1656-NA-013C / 1656 Naples Plague / Seconda reale impressione di Napoli Scontrafatto dopo la peste di Gio. Battista Valentino con la giornata di molte ottave con diligenza corretta et alcuni sonetti dal istesso autore, fatti in diverse occorrenze e tempi (This document is included in);Valentino, Giovanni Battista;;Seconda reale impressione di Napoli Scontrafatto dopo la peste di Gio. Battista Valentino con la giornata di molte ottave con diligenza corretta et alcuni sonetti dal istesso autore, fatti in diverse occorrenze e tempi;Pace, Francesco;Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III L.P. Terza Sala 24. 01. 24;;;;
I-1656-NA-02C7;1656 Naples Plague;Unknown;Immaculate Conception;1668;;Woodcut;;P-1656-NA-013D / 1656 Naples Plague / A' posteri della peste di Napoli, e suo regno nell'anno 1656. Dalla redentione del mondo racconto dato à luce per opera di Nicoló Pasquale della città di Capua (This document is included in);Pasquale, Nicolò;;A' posteri della peste di Napoli, e suo regno nell'anno 1656. Dalla redentione del mondo racconto dato à luce per opera di Nicoló Pasquale della città di Capua;di Fusco, Luca Antonio;Naples;Rome, Biblioteca Nazionale Centrale 34. 7.C.32.1;;https://books.google.es/books?id=IDM1gZMr-tkC&hl=ca&source=gbs_navlinks_s;;
I-1656-NA-02C8;1656 Naples Plague;Coppola, Carlo;Piazza Mercato during the Plague of 1656;1656-1660;;Oil on canvas;130 x 180 cm;;;;;;;;"signed 'CCA'; 'PESTE SOCCESA NEL REGNO DI NAPOLI NEL ANNO 1656 NEL MESE DI MARZO'";;COMUNITÀ/ EFFETTI SOCIALI→Attenzione/compassione per le vittime;
I-1656-NA-02C9;1656 Naples Plague;Gargiulo, Domenico (Micco Spadaro);Largo Mercatello during the Plague of 1656;1650-1700;;Oil on canvas;126 x 177 cm;;;;;;;;;;SENSORIALITÀ E MATERIALITÀ→Attenzione alla corporalità;
I-1656-NA-02CA;1656 Naples Plague;Preti, Mattia;Madonna di Costantinopoli with Saints Gennaro, Joseph, Roch, Nicasio and Rosalia;1656;;Oil on canvas;286 x 196 cm;;;;;;;;;;;
I-1656-NA-02CB;1656 Naples Plague;Coppola, Carlo;The Plague of 1656;1656-1660;;Oil on canvas;76 x 99 cm;;;;;;;;signed 'CC';https://artmuseum.princeton.edu/collections/objects/28983;SENSORIALITÀ E MATERIALITÀ→Odori del disastro;
I-1656-NA-02CC;1656 Naples Plague;Giordano, Luca;St Gennaro intercedes with the Virgin, Christ and God for the Plague of 1656;ca. 1663;;Oil on canvas;400 × 315 cm;;;;;;;;;https://it.wikipedia.org/wiki/San_Gennaro_intercede_presso_la_Vergine,_Cristo_e_il_Padre_Eterno_per_la_peste#/media/File:SangennarointercedeGiordano.jpg;SENSORIALITÀ E MATERIALITÀ→Attenzione alla corporalità;
I-1656-NA-02CD;1656 Naples Plague;Preti, Mattia;Immaculate Conception with Saints Gennaro, Rosalia and Francesco Saverio interceding for Naples during the Plague of 1656;1656-1659;;Oil on canvas;127 x 75 cm;;;;;;;;;https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/1500814856;;
I-1656-NA-02CE;1656 Naples Plague;Luyken, Caspar;The Plague of 1656;1698;;"Etching; letterpress printing";112 mm x 155 mm;;Gottfried, Johann Ludwig ;;"Historische kronyck; vervattende een [...] beschrijvingh der aldergedenckwaerdigste geschiedenissen des weerelds, van den aenvangh der scheppingh tot [...]";van der Aa, Pieter ;Leiden;Amsterdam, Rijksmuseum RP-P-1896-A-19368-1472;;http://hdl.handle.net/10934/RM0001.COLLECT.144599;;
I-1656-NA-02CF;1656 Naples Plague;de Majo, Paolo;The Virgin Mary interceding during the Plague;ca. 1778;;Oil on canvas;160 x 285 cm;;;;;;;;;https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/1500158162;;
I-1656-NA-02D0;1656 Naples Plague;Gargiulo, Domenico (Micco Spadaro);Thanksgiving after the Plague of 1656;1657;;Oil on canvas;207 x 305 cm;;;;;;;;;https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/1500625378;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;
I-1656-NA-02D1;1656 Naples Plague;"Palumbo, Onofrio; Barra, Didier";St Gennaro Interceding for Naples;1650-1700;;Oil on canvas;350 x 220 cm;;;;;;;;;http://www.culturaitalia.it/opencms/viewItem.jsp?language=en&case=&id=oai%3Aculturaitalia.it%3Amuseiditalia-work_8906;;
I-1656-NA-02D2;1656 Naples Plague;Fasano, Tommaso;The Madonna del Carmine against the Plague of 1656;1694;;Oil on canvas;370 x 300 cm;;;;;;;;;https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/1500282024;;
I-1656-NA-02D3;1656 Naples Plague;del Po, Giacomo;St Antonino interceding for the city of Sorrento during the Plague of 1656;1685;;Oil on canvas;400 x 400 cm;;;;;;;;;https://catalogo.beniculturali.it/detail/HistoricOrArtisticProperty/1500368782;;
I-1656-NA-05EC;1656 Naples Plague;"Fanzago, Cosimo; Picchiatti, Francesco Antonio ";Obelisk of St Dominic;1656-1737;;Marble Sculpture;;;;;;;;;;https://es.wikipedia.org/wiki/Obelisco_de_Santo_Domingo;;
I-1656-NA-065E;1656 Naples Plague;Perrey, Nicolas;The Immaculate Conception and Saints Francesco Saverio, Gennaro and Rosaria protect Naples from the plague of 1656;1656;;Engraving;;;;;;;;Naples, Biblioteca Nazionale Vittorio Emanuele III ms. XV G 29, Historia di Napoli;;;;
I-1660-VE-02D4;1660 Vesuvius Eruption;Unknown;Rain of Crosses;1661;;Woodcut;;P-1660-VE-0142 / 1660 Vesuvius Eruption / Continuatione de’ successi del prossimo incendio del Vesuvio, con gli effetti della cenere, e pietre da quello vomitate, e con la dichiaratione, & espressione delle croci maravigliose apparse in varii luoghi dopo l’incendio (This document is included in);[Zupi, Giovanni Battista];Filomarino, Ascanio;Continuatione de’ successi del prossimo incendio del Vesuvio, con gli effetti della cenere, e pietre da quello vomitate, e con la dichiaratione, & espressione delle croci maravigliose apparse in varii luoghi dopo l’incendio;"Paci, Giovan Francesco; Tarino, Giovanni Alberto";Naples;Naples, Biblioteca Nazionale Vittorio Emanuele III RACC.VILL. Misc. 16.03;;;;
I-1660-VE-061C;1660 Vesuvius Eruption;Unknown;A tree;[1660];;Woodcut;;P-1660-VE-05E3 / 1660 Vesuvius Eruption / Relatione e curioso racconto del nuovo incendio del Vesuvio cavato da diffusa relatione venuta da Napoli (This document is included in);Unknown;;Relatione e curioso racconto del nuovo incendio del Vesuvio cavato da diffusa relatione venuta da Napoli;Monti, Giacomo;Bologna;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 138r-141v;;;;foto Milena
I-1668-QU-02D5;1668 Quito Plague;Unknown;Procession of Virgen de El Quinche to Quito;after 1668;;Oil on canvas;;;;;;;;;;http://52.183.37.55/artworks/10355;;
I-1669-ET-02D6;1669 Etna Eruption;Amato, Francesco;"St Agatha of Sicily over the city of Catania during the Etna Eruption of 1669; 10 plates in the interior of the book";1669;;Engraving;;P-1669-ET-014E / 1669 Etna Eruption / Catania liberata poema del signor D. Francesco Morabito gentil'huomo catanese (This document is included in);Morabito, Francesco;Moncada, Pietro;Catania liberata poema del signor D. Francesco Morabito gentil'huomo catanese;La Rocca, Bonaventura;Catania;Rome, Biblioteca Nazionale Centrale 6. 23.D.14;;https://books.google.es/books?id=V7NJgA9uZIwC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1669-ET-02D7;1669 Etna Eruption;Unknown;City View of Catania with Etna erupting;1669;;Engraving;;P-1669-ET-014F / 1669 Etna Eruption / Vera, e nuova relatione venuta da Catania de’ grandi incendii, e desolationi fatte dal monte Etna, overo Mongibello, da gli undeci, sino alli 30 marzo del presente anno 1669 (This document is included in);Unknown;Unknown;Vera, e nuova relatione venuta da Catania de’ grandi incendii, e desolationi fatte dal monte Etna, overo Mongibello, da gli undeci, sino alli 30 marzo del presente anno 1669;Monti, Giacomo;Bologna;"Rome, Biblioteca Casanatense VOL MISC.387 9; Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 144r-147v";;http://opac.casanatense.it/Record.htm?idlist=18&record=10124727124929429099;;
I-1669-ET-02D8;1669 Etna Eruption;Unknown;St Agatha of Sicily;1669;;Woodcut;;P-1669-ET-0154 / 1669 Etna Eruption / Terza relatione per tutti li 16 d’aprile 1669. Del fuoco di Mongibello, e di quel che seguì (This document is included in);Squillaci, Piero;Unknown;Terza relatione per tutti li 16 d’aprile 1669. Del fuoco di Mongibello, e di quel che seguì;Colicchia, Andrea;Naples;Naples, Biblioteca della Società Napoletana di Storia Patria SISMICA 07.A. 049;;;;
I-1669-ET-02D9;1669 Etna Eruption;Unknown;"View of Catania before and after the Eruption of Etna in 1669; City View of Catania";1669;;Engraving;;P-1669-ET-0157 / 1669 Etna Eruption / Breve raguaglio degl'incendi di Mongibello avvenuti in quest'anno 1669. Composto dal signor don Tomaso Tedeschi, e Paterno dottor teologo e lettore di teologia nell'Università di Catania, e sinodale esaminatore (This document is included in);Tedeschi Paternò, Tomaso;Caetani, Carlo (Baron of Villallegra and San Todaro);Breve raguaglio degl'incendi di Mongibello avvenuti in quest'anno 1669. Composto dal signor don Tomaso Tedeschi, e Paterno dottor teologo e lettore di teologia nell'Università di Catania, e sinodale esaminatore;Longo, Egidio;Naples;Zurich, ETH Library Rar 6117;Coat of arms signed 'Amato in.';https://www.e-rara.ch/zut/content/zoom/3027700;;
I-1669-ET-02DA;1669 Etna Eruption;Donia, Francesco;View of Catania with Etna erupting;1670;;Engraving;;P-1669-ET-0158 / 1669 Etna Eruption / Historia, et meteorologia incendii Aetnaei anni 1669. Ioan. Alphonsi Borelli in Academia Pisana matheseos professoris accessit. Responsio ad censuras reu. p. honorati Fabri contra librum auctoris de vi percussionis (This document is included in);Borelli, Alfonso;Ventimiglia, Carlo;Historia, et meteorologia incendii Aetnaei anni 1669. Ioan. Alphonsi Borelli in Academia Pisana matheseos professoris accessit. Responsio ad censuras reu. p. honorati Fabri contra librum auctoris de vi percussionis;Ferro, Domenico;Reggio Calabria;Zurich, ETH Library Rar 6120;;https://www.e-rara.ch/zut/pbifriedlaender/content/zoom/7324335;;
I-1669-ET-02DB;1669 Etna Eruption;Unknown;St Agatha of Sicily;1669;;Engraving;;P-1669-ET-0160 / 1669 Etna Eruption / Cataclysmus Ætnæus, sive inundatio ignea Ætnæ montis anni 1669 (This document is included in);Monaco, Francesco;Paternò e Celestre, Vincenzo;Cataclysmus Ætnæus, sive inundatio ignea Ætnæ montis anni 1669;Hertz, Giovanni Giacomo;Venice;London, British Library 444.b.41.;;http://access.bl.uk/item/viewer/ark:/81055/vdc_100027352944.0x000001;;
I-1669-ET-02DC;1669 Etna Eruption;Platania, Giacinto;City View of Catania with Etna erupting;1675;;Fresco;;;;;;;;;;https://upload.wikimedia.org/wikipedia/commons/7/76/1659_-_Duomo_di_Catania_-_Eruzione_dell%27Etna_del_1669_-_Foto_Giovanni_Dall%27Orto%2C_25-Jan-2006.jpg;;
I-1669-ET-02DD;1669 Etna Eruption;Platania, Giacinto;The Virgin (Santa Maria la Scala) with Saints Venera and Tecla, with the Etna erupting in the Background;after 1669;;Oil on canvas;;;;;;;;;;https://www.parcoecclesialetna.it/media/opera/chiesa_s_m_la_scala_madonna_della_scala.jpg;;
I-1669-ET-02DE;1669 Etna Eruption;Unknown;St Agatha of Sicily;1670;;Engraving;;;;;;;;;;https://catalogue.bnf.fr/ark:/12148/cb39362794z;;
I-1669-ET-0519;1669 Etna Eruption;Unknown;Landscape with Etna erupting;1669;;Coloured woodcut;;;;;;;;;;http://bdh-rd.bne.es/viewer.vm?id=0000264913&page=1;;
I-1671-CA-02DF;1671 Cadiz Tornado;Unknown;Coat of Arms of the City of Cadiz;1671;;Woodcut;;P-1671-CA-0162 / 1671 Cadiz Tornado / Relación verdadera de los daños que en la ciudad de Cádiz y su bahía causó el huracán y contrastes de viento que sobrevino el domingo de Láçaro 15 de março de 1671. Con licencia y mandato de la muy noble y leal ciudad de Cádiz (This document is included in);Unknown;Unknown;Relación verdadera de los daños que en la ciudad de Cádiz y su bahía causó el huracán y contrastes de viento que sobrevino el domingo de Láçaro 15 de março de 1671. Con licencia y mandato de la muy noble y leal ciudad de Cádiz;Machado, Juan Lorenzo (Widow of);Cadiz;Granada, Universidad de Granada, Biblioteca del Hospital Real A-031-131 (34);;https://digibug.ugr.es/handle/10481/12479;;
I-1672-AB-02E0;1672 Abruzzo Earthquake;Unknown;Madonna with Child crowned above a Fortification;1672;;Woodcut;;P-1672-AB-0166 / 1672 Abruzzo Earthquake / Vera relatione del terremoto succeduto nella provincia d’Abruzzo, et in particolare nella città dell’Aquila, terre dell’Amatrice, e Montereale (This document is included in);Unknown;Ronchelli, Carlo;Vera relatione del terremoto succeduto nella provincia d’Abruzzo, et in particolare nella città dell’Aquila, terre dell’Amatrice, e Montereale;Mollo, Francesco;Naples;London, British Library General Reference Collection 444.c.41.(4.);;https://books.google.it/books?id=MK9kAAAAcAAJ&printsec=frontcover&hl=es&source=gbs_ge_summary_r&cad=0;;
I-1677-FU-02E1;1677 Fuencaliente Eruption;Unknown;Eruption of the Fuencaliente volcan;1678;;Watercolor on paper;60 x 41 cm;;;;;;;;;http://pares.mcu.es/ParesBusquedas20/catalogo/description/4571399;;[da Pares] Acompaña a la correspondencia enviada por el Tribunal de la Inquisición de Canarias al Consejo de la Suprema Inquisición, informándole de la erupción de un volcán, INQUISICIÓN,2376
I-1679-AN-02E2;1679 Andalusia Plague;Ruiz Velázquez, Vicente;Our Lady of the Rosary over the city of Antequera during the Plague of 1679;1759;;Plate;;;;;;;;;;https://museoantequera.wordpress.com/2018/05/03/en-una-luna-cabe-la-peste-de-antequera-un-rosario-y-el-papa-pio-v/;;
I-1679-AN-02E3;1679 Andalusia Plague;Unknown;Our Lady of the Rosary over the city of Antequera during the Plague of 1679;1679-1680 restored in 1732;;Oil on canvas;178 x 231,5 cm;;;;;;;;;;;
I-1679-AN-0514;1679 Andalusia Plague;Unknown;St Michael the Archangel;[1679];;Woodcut;;;;;;;;;'Quien como Dios';http://bdh-rd.bne.es/viewer.vm?id=0000058663&page=1;;
I-1682-VE-02E4;1682 Vesuvius Eruption;Unknown;Landscape with a Small Temple;1682;;Woodcut;;P-1682-VE-018C / 1682 Vesuvius Eruption / Relazione dell'incendio del Vesuvio seguito l'anno 1682, dalli 14 di agosto sino alli 26 del medemo (This document is included in);Unknown;Unknown;Relazione dell'incendio del Vesuvio seguito l'anno 1682, dalli 14 di agosto sino alli 26 del medemo;Ercole, Michele;Rome;London, British Library 1193.m.1.(86.);;;;
I-1682-VE-02E5;1682 Vesuvius Eruption;"Pesche, Giovanna Dorotea; Bulifon, Antonio";"View of the Bay of Naples with the Vesuvius; Commemorative Plaque";1685;;Engraving;;;;;;;;;;https://books.google.es/books?id=zYXaKiC5dHsC&printsec=frontcover&hl=ca&source=gbs_ge_summary_r&cad=0;;
I-1682-VE-02E6;1682 Vesuvius Eruption;Petrini, Paolo;View of Vesuvius with Commemorative Plaque;[1682];;Engraving;235 x 120 mm;;;;;;;;;;;
I-1682-VE-061D;1682 Vesuvius Eruption;Unknown;A burning building;[1682];;Woodcut;;P-1682-VE-05A9 / 1682 Vesuvius Eruption / Relazione delll'incendio del Vesuvio seguito l'anno 1682 dalli 14 di agosto fino alli 26 del medemo (This document is included in);Unknown;;Relazione delll'incendio del Vesuvio seguito l'anno 1682 dalli 14 di agosto fino alli 26 del medemo;Sarti, Francesco Maria;Bologna;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 148r-149v;;;;foto Milena
