Record;Event;Archive;Author/sender;Recipient;Date of writing;Start point;Date of receipt;End point;Summary;Language;Related images or documents;Other Events;Link;Analytic tags;Private notes;;;;;;
M-1654-CM-03F5;1654 Ciociaria and Marsica Earthquake;Archivio di Stato di Napoli, Regia Camera della Sommaria, Ruote, vol. 52, cc.64-68;Camera della Sommaria;Avellaneda y Haro, García de;1654-09-28;Naples;;Naples;Having taken into account the information given by the Duke of Sora through the Viceroy, the Camera della Sommaria suggests the following decision: Et il tutto proposto in q[ue]sto Trib[una]le l’infratto dì, ha parso di questa Regia Camera che si pigli informatione da persona destinanda da V.E. più destinta; del successo di detti terremoti; con vedere quali terre hanno patito più de l’altre; perché si possa procedere conforme al danno; et fra tanto l’Ecc.a Sua potrà restar servita di comandare non si molestassero le Terre p[rede]tte che hanno patito per il d[ett]o terremoto per lo spatio di quattro mesi così per lo debito passato come per q[ue]llo che anderà correndo non solo per lo che deveno alla R[egi]a Corte, ma ancora per lo che devieno à conti di fiscali Instrumentarij et altri quals[isia]no creditori p[er] qualsivoglia causa';Italian;M-1654-CM-03F3 / 1654 Ciociaria and Marsica Earthquake / The (first) Letter by the Duke of Sora to the Viceroy is copied in the consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. The Duke was the feudal lord of some of the affected towns and villages and reports the victims and damamages occurred in the affected places; then on behalf of his subjects, he begs the Viceroy to grant tax relief to the inhabitants of the places concerned;M-1654-CM-03F4 / 1654 Ciociaria and Marsica Earthquake / The (second) Letter by the Duke of Sora to the Viceroy is copied in the 'consulta' (written advice) by the Camera della Sommaria of 28 September 1654, and was transmitted to the Camera by the Viceroy. As the feudal lord of some of the affected towns and villages, the Duke attaches a more detailed report on damages and victimes in the towns affected by the earthquake';;http://storing.ingv.it/cfti/cfti5/quake.php?01007IT;;
M-1655-LI-03F6;1655 Lima Earthquake;Seville, Archivo General de Indias, Lima, 59, Cartas y expedientes de virreyes de Perú, exp. 4;Enríquez de Guzmán, Luis;Consejo de Indias;1656-01-20;Lima;;Madrid;The viceroy reports the victims of the earthquake of 13 November 1655, the damages to some buildings and the reaction of the inhabitants. Eventually, he adds that in the following months there were strong sea storms that damaged the defences of the Callao port;Spanish;M-1655-LI-03F7 / 1655 Lima Earthquake / in compliance with royal orders prescribing the reinforcement of the ramparts in the port of Callao, the viceroy confirms that he has begun consolidation work because the walls had been damaged by the previous year's earthquake and severe sea storms (This document is mentioned in);;;;;;;;;;
M-1655-LI-03F7;1655 Lima Earthquake;Seville, Archivo General de Indias, Lima, 58, Cartas y expedientes de virreyes de Perú, exp. 36;Enríquez de Guzmán, Luis;Consejo de Indias;1656-06-17;Lima;;Madrid;in compliance with royal orders prescribing the reinforcement of the ramparts in the port of Callao, the viceroy confirms that he has begun consolidation work because the walls had been damaged by the previous year's earthquake and severe sea storms;Spanish;M-1655-LI-03F6 / 1655 Lima Earthquake / The viceroy reports the victims of the earthquake of 13 November 1655, the damages to some buildings and the reaction of the inhabitants. Eventually, he adds that in the following months there were strong sea storms that damaged the defences of the Callao port (This document mentions);;;;;;;;;;
M-1657-CO-03F8;1657 Concepción Earthquake;Archivum Romanum Societatis Iesu, Provincia Chilensis, vol. 6, ff. 273r-284v;Albiz, Juan de;Nickel, Goswino;1659-03-15;Santiago de Chile;;Rome;Annual letter referred to Chile vice province from 1657 to 1659 in which Albiz narrates briefly some of the effects of the Concepcion earthquake on the city;Spanish;;;;;;;;;;;
M-1658-MA-03F9;1658 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 77, n. 73;Cabildo eclesiástico;Philip IV;1659-06-18;Manila;;Madrid;Reference to previous Manila Earthquake;Spanish;;;;;;;;;;;
M-1658-MA-03FA;1658 Manila Earthquake;Seville, Archivo General de Indias, Filipinas, 81, n. 93;Santa Monica, Cristóbal de;Consejo de Indias;;Manila;1666-01-13;Madrid;Report on the damage occurred to the monastery after earthquakes;Spanish;;;;;Several earthquakes occurred in the New World are mentioned;;;;;;
M-1659-CA-03FB;1659 Calabria Earthquake;Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Bracamonte Guzmán, Gaspar de, Count of Peñaranda;Philip IV;1659-11-29;Naples;1660-01;Madrid;Report on Calabria Earhquake, transmission news from Calabria to Naples;Spanish;"M-1659-CA-03FC / 1659 Calabria Earthquake / Report of damages in Calabria Ultra Cities and Towns (This document includes);M-1659-CA-03FD / 1659 Calabria Earthquake / Report about damages in Calabrian Convent, San Domenico Soriano (This document includes);M-1659-CA-03FE / 1659 Calabria Earthquake / Debate about news by Viceroy of Naples on Calabria Earthquake (This document is mentioned in)";;;;;;;;;;
M-1659-CA-03FC;1659 Calabria Earthquake;Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Secretaries of Neapolitan court;Philip IV;1659-11-29;Naples;1660-01;Madrid;Report of damages in Calabria Ultra Cities and Towns;Spanish;"M-1659-CA-03FB / 1659 Calabria Earthquake / Report on Calabria Earhquake, transmission news from Calabria to Naples (This document is included in);M-1659-CA-067E / 1659 Calabria Earthquake / Written advice from the Council of Italy on post-earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano.&nbsp;The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy.&nbsp;However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances (This document is mentioned in)";;;;Secretaries' copy. It's a list on dameges city by city;;;;;;
M-1659-CA-03FD;1659 Calabria Earthquake;Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Secretaries of Neapolitan court;Philip IV;1659-11-29;Naples;1660-01;Madrid;Report about damages in Calabrian Convent, San Domenico Soriano;Spanish;"M-1659-CA-03FB / 1659 Calabria Earthquake / Report on Calabria Earhquake, transmission news from Calabria to Naples (This document is included in);M-1659-CA-067E / 1659 Calabria Earthquake / Written advice from the Council of Italy on post-earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano.&nbsp;The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy.&nbsp;However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances (This document is mentioned in)";;;;Secretaries' copy;;;;;;
M-1659-CA-03FE;1659 Calabria Earthquake;Archivo General de Simancas, Secretarias Provinciales, 30, s.f.;Consejo de Italia;Philip IV;1660-01-29;Madrid;1660-01-30;Madrid;Debate about news by Viceroy of Naples on Calabria Earthquake;Spanish;"M-1659-CA-03FB / 1659 Calabria Earthquake / Report on Calabria Earhquake, transmission news from Calabria to Naples (This document mentions);M-1659-CA-067E / 1659 Calabria Earthquake / Written advice from the Council of Italy on post-earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano.&nbsp;The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy.&nbsp;However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances (This document is mentioned in)";;;;;;;;;;
M-1659-CA-03FF;1659 Calabria Earthquake;Archivio di Stato di Napoli, Consiglio Collaterale, Cancelleria, Partium, 533;Consiglio Collaterale;De Marinis, Antonio Donato;1659-11-29;Naples;;;Special mandate awarded to Antonio Donato de Marinis - special commissioner on earthquake;Italian;;;;;;;;;;;
M-1659-CA-067E;1659 Calabria Earthquake;Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 30, fol. 180;Consejo de Italia;Philip IV;1660-07-24;Madrid;;[Madrid];Written advice from the Council of Italy on post-earthquake reconstruction in Calabria, prompted by the plea of the procurator of the convent of S. Domenico di Soriano. The Council proposes to the Sovereign to grant aid to the Convent, since it is an institution worthy of royal mercy. However, the Council proposes a remedy to fund the reconstruction without perpetually damaging the royal finances;Spanish;"M-1659-CA-03FC / 1659 Calabria Earthquake / Report of damages in Calabria Ultra Cities and Towns (This document mentions);M-1659-CA-03FD / 1659 Calabria Earthquake / Report about damages in Calabrian Convent, San Domenico Soriano (This document mentions);M-1659-CA-03FE / 1659 Calabria Earthquake / Debate about news by Viceroy of Naples on Calabria Earthquake (This document mentions)";;;RISPOSTE ISTITUZIONALI→Inchiesta sugli effetti del disastro;;;;;;;
M-1659-CA-0680;1659 Calabria Earthquake;Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 30, fol. 183;Consejo de Italia;Philip IV;1660-07-24;Madrid;;[Madrid];On the basis of the report made by Judge Capece Galeota on the damage suffered by the Convent of St. Domenico, the Council proposes a solution to grant the tax relief that will be necessary for reconstruction, without prejudice to tax revenues ;Spanish;;;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1660-PI-0400;1660 Pichincha Eruption;Seville, Archivo General de Indias, Quito, 210, L. 4, ff. 17r-17v;Philip IV;Audiencia of Quito;1664-07-10;Madrid;;Quito;The king replied to a letter of 20 August 1662 sent by the Royal Court of Quito in which he reported on the earthquake suffered by the city on 1 January of that year. But he also acknowledged receipt of another letter from the Royal Audience written on 4 November 1662 reporting the eruption of a volcano (very possibly the Pichincha) located 3 leagues from the city.;Spanish;;1662 Quito Earthquake;;;;;;;;;
M-1660-PI-0401;1660 Pichincha Eruption;Seville, Archivo General de Indias, Quito, 210, L. 4, ff. 19r-20r;Philip IV;Bishop of Quito;1664-07-10;Madrid;;Quito;The king advises the bishop to gently request a new donation from the ecclesiastics due to the economic oppression caused by the eruption of a volcano.;Spanish;;;;;;;;;;;
M-1660-VE-05CB;1660 Vesuvius Eruption;Naples, Biblioteca della Società Napoletana di Storia Patria, Manoscritti, XXIII D 14, La Notitia di quanto è occorso in Napoli (1648-1669), vol. I, ff. 145-146;Rubino, Andrea;;1660;Naples;;;In his handwritten journal (La Notitia, vol. I, now digitized and accessible online), Andrea Rubino notes that strong tremors were felt in Naples, causing panic and fear among the population and ashes rains;Italian;;;http://rubino.polodigitalenapoli.it/consulta.php;;Completare tag e summary;;;;;;
M-1660-VE-0679;1660 Vesuvius Eruption;Archivo General de Simancas, Secretarías de Estado, Nápoles, legajo 3283, fol. 121;Bracamonte Guzmán, Gaspar de, Count of Peñaranda;Consejo de Italia;1660-07-15;Naples;1660-08-06;Madrid;"The viceroy describes the different stages of the eruption, which began on 3 July, the fear that gripped the population, especially because of the memory of the 1631 eruption, and the processions and expressions of repentance; finally, he assures that the city did not suffer any serious damage, while listing the damage suffered by the towns on the slopes of the volcano";Spanish;"M-1660-VE-067A / 1660 Vesuvius Eruption / The Council of Italy summarises the information received from the Viceroy, proposes to approve what has been done so far and to urge him to continue assisting the inhabitants of the worst affected countries (This document is followed by);M-1660-VE-067F / 1660 Vesuvius Eruption / In this written advice, after briefly summarising the Jesuit Zupo's report, the Council states that&nbsp;since this event, although natural, is beyond human strength, there is nothing to be said for it but to commend it to God.&nbsp; (This document is mentioned in)";1631 Vesuvius Eruption;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;;;
M-1660-VE-067A;1660 Vesuvius Eruption;Archivo General de Simancas, Secretarías de Estado, Nápoles, legajo 3283, fol. 120;Consejo de Italia;Philip IV;1660-08-27;Madrid;;[Madrid];The Council of Italy summarises the information received from the Viceroy, proposes to approve what has been done so far and to urge him to continue assisting the inhabitants of the worst affected countries;Spanish;"M-1660-VE-0679 / 1660 Vesuvius Eruption / The viceroy describes the different stages of the eruption, which began on 3 July, the fear that gripped the population, especially because of the memory of the 1631 eruption, and the processions and expressions of repentance; finally, he assures that the city did not suffer any serious damage, while listing the damage suffered by the towns on the slopes of the volcano (This document is a follow-up of)";;;COMUNITÀ/ EFFETTI SOCIALI→Attenzione/compassione per le vittime;;;;;;;
M-1660-VE-067B;1660 Vesuvius Eruption;Archivo General de Simancas, Secretarías de Estado, Nápoles, legajo 3283, fol. 156;Bracamonte Guzmán, Gaspar de, Count of Peñaranda;Consejo de Italia;1660-08-25;Naples;1660-09-30;Madrid;The viceroy reportes that the eruption has ceased on 25 July and that the greatest damage have occurred in the villages near the volcano. He has sent the Judge Felix de Ulloa to assess the damages in order to give aid and relief accordingly.;Spanish;M-1660-VE-067D / 1660 Vesuvius Eruption / The Council of Italy endorses the Viceroy's measures and approves his conduct (This document is followed by);;;RISPOSTE ISTITUZIONALI→Sgravi fiscali;;;;;;;
M-1660-VE-067D;1660 Vesuvius Eruption;Archivo General de Simancas, Secretarías de Estado, Nápoles, legajo 3283, fol. 155;Consejo de Italia;Philip IV;1660-10-30;Madrid;;[Madrid];The Council of Italy endorses the Viceroy's measures and approves his conduct;Spanish;M-1660-VE-067B / 1660 Vesuvius Eruption / The viceroy reportes that the eruption has ceased on 25 July and that the greatest damage have occurred in the villages near the volcano. He has sent the Judge Felix de Ulloa to assess the damages in order to give aid and relief accordingly. (This document is a follow-up of);;;;;;;;;;
M-1660-VE-067F;1660 Vesuvius Eruption;Archivo General de Simancas, Secretarías Provinciales, Nápoles, legajo 30, fol. 135;Consejo de Italia;Philip IV;1660-08-08;Madrid;;[Madrid];In this written advice, after briefly summarising the Jesuit Zupo's report, the Council states that since this event, although natural, is beyond human strength, there is nothing to be said for it but to commend it to God. ;Spanish;"M-1660-VE-0679 / 1660 Vesuvius Eruption / The viceroy describes the different stages of the eruption, which began on 3 July, the fear that gripped the population, especially because of the memory of the 1631 eruption, and the processions and expressions of repentance; finally, he assures that the city did not suffer any serious damage, while listing the damage suffered by the towns on the slopes of the volcano (This document mentions)";;;INTERPRETAZIONE→Punizione per i peccati degli uomini;;;;;;;
M-1661-MA-054D;1661 Malaga Flood;Madrid, Biblioteca de la Real Academia de la Historia, H. 59-60 [i.e. 2 h.] Olim: T.173 -- Colección Jesuitas, 9/3746(13);Unknown;Unknown;[1661-10] Date inferred from the text, in h. 60r: Puede imprimirse. Madrid y octubre de 1661';;;Madrid;Report on the flooding of the city of Malaga on September 22nd of 1661 [manuscript version];Spanish;P-1661-MA-014C / 1661 Malaga Flood / Relación verdadera, donde se da cuenta de la inundación de la ciudad de Málaga el dia 22 de septiembre deste años de 1661 (The content of this document is translated in);;;;;;;;;;
M-1661-MA-0550;1661 Malaga Flood;Madrid, Biblioteca Nacional de España, MSS. 9397 (ff. 30-31);Queipo de Llano y Valdés, Álvaro;Felipe IV;1661-09-22;Malaga;;Madrid;Handwritten letter containing some coincise news about the event, the damages and the victims in a dramatic tone;;;;http://bdh-rd.bne.es/viewer.vm?id=0000100274&page=1;;;;;;;;
M-1661-MA-0551;1661 Malaga Flood;Madrid, Biblioteca Nacional de España, MSS. 9397 (ff. 32-35);Piñahermosa, Antonio de;Felipe IV;1661-09-27;Malaga;;Madrid;Handwritten letter containing some coincise news which describes in great detail the damages caused by the floods in Malaga, as well as the solutions that have been proposed to help the population. In addition, it emphasizes the fact that this disaster could have been avoided since it was not the first time that Malaga suffered a similar disaster.;Spanish;;;http://bdh-rd.bne.es/viewer.vm?id=0000100274&page=1;;;;;;;;
M-1661-MA-0552;1661 Malaga Flood;Madrid, Biblioteca Nacional de España, MSS. 9397 (f. 36);Unknown;Unknown;;Unknown;;Unknown;Report of what happened in the city of Malaga;Spanish;;;http://bdh-rd.bne.es/viewer.vm?id=0000100274&page=1;;;;;;;;
M-1662-QU-0402;1662 Quito Earthquake;Seville, Archivo General de Indias, Quito, 210, L. 4, ff. 17r-17v;Philip IV;Audiencia of Quito;1664-07-10;Madrid;;Quito;The King refers the reception of the letter of 20 August 1662 sent by the Royal Audiencia of Quito. In it, the king was informed of the rogations that had been held to placate the divine wrath caused by an earthquake on 1 January of the same year. In the ceremonies, everyone had acknowledged the Virgin as intercessor. The earthquake had ruined temples and houses and caused the loss of cattle and the sterility of the land. The king recommended that the rogations be continued, that public sins be avoided, and that justice be administered equally and righteously. The letter of 1662 took up the contents of the letter sent by the Royal Audiencia on 4 November 1660, in which they reported the eruption of a volcano located three leagues from Quito, most probably Pichincha.;Spanish;;1662 Quito Earthquake;http://pares.mcu.es/ParesBusquedas20/catalogo/show/407661?nm;;;;;;;;
M-1667-RA-0403;1667 Ragusa Earthquake;Barcelona, Archivo de la Corona de Aragón, Consejo de Aragón, 46, n. 11-41;Consejo de Aragón;Unknown;1667-11-09;Madrid;;;Debate about the Ragusan requests;Spanish;;;;;News on earthquake;;;;;;
M-1669-ET-0404;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 698, f. 246v;Fernández de La Cueva, Francisco;Tribunale del Real Patrimonio;1669-03-06;Palermo;;Palermo;Communication about the earthquakes and volcanic activity occurring in eastern Sicily;Spanish;;;;;;;;;;;
M-1669-ET-0405;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 26v;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-03-15;Palermo;;Catania;Dispatch about the need to start processions and public prayers for the eruption to stop;Spanish;;;;;;;;;;;
M-1669-ET-0406;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93,  f. 29r;Fernández de La Cueva, Francisco;Senato of Catania;1669-03-22;Catania;;Palermo;Dispatch about the concession of the sums destined to shelter the defensive ramparts for the emergency;Spanish;;;;;;;;;;;
M-1669-ET-0407;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 29r;Fernández de La Cueva, Francisco;Senato of Catania;1669-03-22;Palermo;;Catania;Concession granted by the Real Estate Tribunal to use the sums allocated for the shelter of the defensive bastions for the emergency;Spanish;;;;;;;;;;;
M-1669-ET-0408;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 29r-v;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-03-22;Palermo;;Catania;Dispatch containing the order to continue the processions and prayers;Spanish;;;;;;;;;;;
M-1669-ET-0409;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 30v;Fernández de La Cueva, Francisco;Senato of Catania;1669-03-26;Palermo;;Catania;Injunction to continue the processions;Spanish;;;;;;;;;;;
M-1669-ET-040A;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 31v;Fernández de La Cueva, Francisco;Senato of Catania;1669-03-26;Palermo;;Catania;Appreciation letter for the measures adopted so far by the municipal institution;Spanish;;;;;;;;;;;
M-1669-ET-040B;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 32r;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-03-26;Palermo;;Catania;Injunction to continue the processions;Spanish;;;;;;;;;;;
M-1669-ET-040C;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 34r;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-06;Palermo;;Catania;The reception of information about the progress of the lava towards the city of Catania;Spanish;;;;;;;;;;;
M-1669-ET-040D;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, 34r-v;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-04-06;Palermo;;Catania;The reception of information about the progress of the lava towards the city of Catania;Spanish;;;;;;;;;;;
M-1669-ET-040E;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 698, ff. 249r- 250v;Fernández de La Cueva, Francisco;Tribunal del Real Patrimonio;1669-04-06;Palermo;;Palermo;Letter relating to the need to appoint a vicar general and to suspend the gabelles in state-owned towns and villages;Spanish;;;;;;;;;;;
M-1669-ET-040F;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 35r-v;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-07;Palermo;;Catania;The reception of information concerning the proximity of the lava to the city of Catania;Spanish;;;;;;;;;;;
M-1669-ET-0410;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 34v-35r;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-04-07;Palermo;;Catania;The reception of information concerning the proximity of the lava to the city of Catania;Spanish;;;;;;;;;;;
M-1669-ET-0411;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 698, ff. 250v- 251r;Fernández de La Cueva, Francisco;Tribunal del Real Patrimonio;1669-04-08;Palermo;;Palermo;Letter informing on the appointment of the prince of Campofranco as general vicar;Spanish;;;;;;;;;;;
M-1669-ET-0412;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 35v;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-09;Palermo;;Catania;Letter informing on the appointment of the prince of Campofranco as general vicar;Spanish;;;;;;;;;;;
M-1669-ET-0413;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 36r-v;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-14;Palermo;;Catania;Letter announcing the departure of the prince of Campofranco for Catania;Spanish;;;;;;;;;;;
M-1669-ET-0414;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 36v;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-04-14;Palermo;;Catania;Letter announcing the departure of the prince of Campofranco to Catania;Spanish;;;;;;;;;;;
M-1669-ET-0415;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 36r-v;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-19;Palermo;;Catania;The reception of information about the progress of the lava towards the city of Catania;Spanish;;;;;;;;;;;
M-1669-ET-0416;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 38r-v;Fernández de La Cueva, Francisco;Senato of Catania;1669-04-21;Palermo;;Catania;Letter about the recognition of the salvation of the city attributed to the patron Sant'Agata;Spanish;;;;;;;;;;;
M-1669-ET-0417;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 39r;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-04-23;Palermo;;Catania;The information received about the deviation of the lava flow to the sea;Spanish;;;;;;;;;;;
M-1669-ET-0418;1669 Etna Eruption;Archivo General de Simancas, Estado, Sicilia, 3492, f.62;Fernández de La Cueva, Francisco;Marianna of Austria;1669-04-23;Palermo;;Madrid;Dispatch about the appointment of the prince of Campofranco as general vicar;Spanish;;;;;;;;;;;
M-1669-ET-0419;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. . 40r-41r;Fernández de La Cueva, Francisco;Riggio, Stefano;1669-04-23;Palermo;;Catania;The reception of information about the progress of the lava and and the measures adopted so far;Spanish;;;;;;;;;;;
M-1669-ET-041A;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 43v-44r;Fernández de La Cueva, Francisco;Stefano Riggio, prince of Campofranco;1669-04-30;Palermo;;Catania;Letter about the information received about the measures adopted to face the emergency;Spanish;;;;;;;;;;;
M-1669-ET-041B;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 45r-v;Fernández de La Cueva, Francisco;Riggio, Stefano;1669-05-05;Palermo;;Catania;The reception of information about the progress of the lava and and the measures adopted so far;Spanish;;;;;;;;;;;
M-1669-ET-041C;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 698, f. 252v;Fernández de La Cueva, Francisco;Tribunal del Real Patrimonio;1669-05-07;Palermo;;Palermo;Information letter about the measures adopted by the vicar general;Spanish;;;;;;;;;;;
M-1669-ET-041D;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1668, ff. 65r-v;Bonadies, Michelangelo;Fernández de La Cueva, Francisco;1669-05-10;Catania;;Palermo;Commendation letter for the work of Don Pedro Paternò and Castelli and his son Carlos during the eruption;Spanish;;;;;;;;;;;
M-1669-ET-041E;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 698, f. 253r;Fernández de La Cueva, Francisco;Tribunal del Real Patrimonio;1669-05-10;Palermo;;Palermo;Dispatch that instructs the court to deal with the question relating to the construction of the Borgo;Spanish;;;;;;;;;;;
M-1669-ET-041F;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, f. 47r;Fernández de La Cueva, Francisco;Riggio, Stefano;1669-05-18;Palermo;;Catania;Dispatch that authorize the vicar general to return to Palermo;Spanish;;;;;;;;;;;
M-1669-ET-0420;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 49v-50r;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-05-18;Palermo;;Catania;Dispatch that granted 500 scudi for the purchase of a lamp for Sant'Agata;Spanish;;;;;;;;;;;
M-1669-ET-0421;1669 Etna Eruption;Archivo General de Simancas, Estado, Sicilia, 3492, f. 90;Fernández de La Cueva, Francisco;Consejo de Estado;1669-05-26;Palermo;;Madrid;Copy of a detailed report sent by the general vicar about the measures adopted in the towns and villages affected by the eruption of Etna;Spanish;;;;;;;;;;;
M-1669-ET-0422;1669 Etna Eruption;Archivo General de Simancas, Estado, Sicilia, 3492, f. 88;Fernández de La Cueva, Francisco;Mariana of Austria;1669-06-04;Palermo;1669-08-24;Madrid;Report on the damage caused by the eruption on the measures adopted by the vicar general;Spanish;;;;;;;;;;;
M-1669-ET-0423;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1688;Senato of Catania;Fernández de La Cueva, Francisco;1669-06-07;Catania;;Palermo;Letter about the progress of the lava;Italian;;;;;;;;;;;
M-1669-ET-0424;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1668;Di Paternò e Castello, Giovanni;Fernández de La Cueva, Francisco;1669-06-11;Catania;1669-06-15;Palermo;Letter concerning the restart of volcanic activity;Italian;;;;;;;;;;;
M-1669-ET-0425;1669 Etna Eruption;Archivo General de Simancas, Estado, Sicilia, 3492, f. 61;Consejo de Estado;Charles II;1669-06-19;Madrid;;;Consulta (written advice) about the damage caused by the eruption of Etna;Spanish;;;;;;;;;;;
M-1669-ET-0426;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1688;Senato of Catania;Fernández de La Cueva, Francisco;1669-06-19;Catania;;Palermo;Letter about the progress of the lava and the request for resources to repair the city of Catania;Italian;;;;;;;;;;;
M-1669-ET-0427;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1688;Bonadies, Michelangelo;Fernández de La Cueva, Francisco;1669-06-22;Catania;;Palermo;Letter about the need to build a new Borgo;Spanish;;;;;;;;;;;
M-1669-ET-0428;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 76v-77r;Fernández de La Cueva, Francisco;Captain of Justice;1669-07-01;Palermo;;Catania;Dispatch to return the prisoners back in the prison of Catania;Spanish;;;;;;;;;;;
M-1669-ET-0429;1669 Etna Eruption;Archivio di Stato di Palermo, Estado, Sicilia, 3492, f. 87;Consejo de Estado;Mariana of Austria;1669-08-31;Madrid;;Madrid;Consulta (written advice) for the approval of the measures adopted by the general vicar during the emergency;Spanish;;;;;;;;;;;
M-1669-ET-042A;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Incartamenti, 1688;Senato of Catania;Fernández de La Cueva, Francisco;1669-10-08;Catania;;Palermo;Letter of thanks for the license granted to build the new Borgo;Italian;;;;;;;;;;;
M-1669-ET-042B;1669 Etna Eruption;Archivio di Stato di Palermo, Real Segreteria, Dispacci, 93, ff. 119r-v;Fernández de La Cueva, Francisco;Bonadies, Michelangelo;1669-10-01;Palermo;;Catania;Dispatch with the assignment of an engineer to verify the damage caused by the eruption;Spanish;;;;;;;;;;;
