Record;Event;Author;Recipient/dedicatee information;Recipient/dedicatee;Title;Printer;Printer information;Place;Summary;Other places quoted by the printer;Year;Language;Form (prose/verses/mixed);Identifier in USTC;Reference copy-ies;Digitised copy link;Related images and documents;Additional notes;Analaytic tags;Private notes;;;;
P-1647-SA-012E;1647 Santiago Earthquake;González Chaparro, Juan;;;Lettera ove s'intendono casi stravagantissimi del terremoto ivi seguito alli 13 di maggio 1647;Unknown;Nella Stamperia arcivescovile;Milan;;;1648;Italian;Prose;4019161;Milan, Biblioteca Nazionale Braidense IT-MI0185 GG. 03. 0048/04;;;ESEMPLARE NON CONSULTATO. USTC RIFERISCE CHE IL LUOGO DI STAMPA è MILANO. INVECE SUL CATALOGO DELLA BIBLIOTECA NAZIONALE BRAIDENSE SI SPECIFICA ANCHE ROMA. BISOGNEREBBE CONSULTARE IL TESTO PER CAPIRNE DI PIù;;;;;;
P-1647-SA-063B;1647 Santiago Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las Espanas, / y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de Indias;Philip IV;Coronica de la religiosissima provincia de los doze / apostoles del Peru, de la orden de N.P. S. Francisco  de la regular / observancia [...];López de Herrera, Jorge;Por Jorge Lopez de Herrera;Lima;The friar narrates the death of some Franciscans during the earthquake that also caused the ruin of the monastery of San Francisco. The earthquake was a punishment for guilt and came at night without any warning, causing the death of more than a thousand people, the destruction of buildings and the ruin of animals.  Córdoba y Salinas also tells of the destruction of the cathedral of Santiago and the convent of the nuns of Santa Clara, under the rule of the Franciscans. Finally, he tells of the ruin of the archbishop's palace and the miraculous survival of Bishop Gaspar de Villarroel. The earthquake was foretold that same night by a nun from the Augustinian monastery who saw in the air a naked sword and a scourge threatening the city.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;P-1647-SA-012A / 1647 Santiago Earthquake / Carta del P. Iuan González Chaparro de la Compañia de Iesús, y de la vice-provincia de Chile, para el P. Alonso de Ovalle y del Manzano de la misma compañía, Procurador General de Roma, en que le da cuenta del lastimoso sucesso del terremoto que huvo en la ciudad de Santiago de Chile en Indias (This document includes);On the death of some franciscans during the earthquake, see pp. 640-641.<br>On the ruin of San Francisco monastery and nuns from Santa Clara convent, see pp. 641 and 642.<br>On the guilty as the cause of the earthquake, see p. 641.<br>On the victims, see p. 641.<br>On the destruction of the cathedral, see p. 642.<br>On the destruction of archiepiscopal palace and Villarroel's miracle, see p. 642.<br>On the vision of the Augustinian nun from Concepción convent, see p. 642.;INTERPRETAZIONE→Segni premonitori;;;;;
P-1647-SA-0647;1647 Santiago Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de / los ermitaños de San Agustin Nuestro Padre [...];Santos de Saldaña, Juan;En la imprenta de Iulian Santos de Saldaña;Lima;On p. 23, Torres praises Bishop Villarroel's reconstruction of both the cathedral and the monastery of La Concepción, of Augustinian nuns.On pp. 37 and 39, there are references to the earthquake and its destructive effects on some buildings. On pp. 532-533, the author recounts the miraculous salvation of the Augustinian bishop Gaspar de Villarroel thanks to the intercession of St. Francisco Javier. He goes on to narrate the work of the bishop to attend to the material and spiritual needs of the faithful and to rebuild the cathedral. All this without having requested money from the king.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657 .T693c;https://archive.org/details/cronicadelaproui00torr;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;;;;;
P-1648-IN-012F;1651 East Indies Hurricane;Unknown;;;Relaciones de las grandes pérdidas de naos, y galeones que han tenido los Portugueses en la India Oriental, y los cruelísimos huracanes que han sucedido en Goa, y los alborotos de los vezinos de aquella ciudad;Gómez de Blas, Juan;Por Juan Gómez de Blas;Seville;;;1651;Spanish;Prose;5044859;Seville, Biblioteca Capitular y Colombina 61-5-8;https://www.bidiso.es/CBDRS/upload/ejemplares/2043/digitalizado/201711171224__61-5-8%20(%20signatura%20antigua_1_%2063-2-30)---030.pdf;;;;;;;;
P-1648-VA-0130;1648 Valencia Plague;Alicante, Pablo de;A su general el R.mo P. F. Inocencio de Calataxirona;Calataxirona, Inocencio de;Breve carta que el P. F. Pablo de Alicante, predicador capuchino, escrive de lo sucedido en la peste de Valencia a su general el Rmo. P. Fr. Inocencio de Calataxirona, Ministro General de toda la orden de los frayles menores capuchinos de nuestro serafico P. S. Francisco;Esparsa, Silvestre;Por Silvestre Esparsa en la calle de las Barcas;Valencia;;;1648;Spanish;Prose;5039656;Santander, Biblioteca de Menéndez y Pelayo M-141;https://www.bidiso.es/CBDRS/ediciones/BDRS0004355/279/ejemplar/4812;;;;;;;;
P-1649-SE-0131;1649 Seville Plague;López de San Román Ladrón de Guevara, Pedro;;;Copiosa relación de lo sucedido en el tiempo que duró la epidemia en la grande y augustíssima ciudad de Sevilla, año de 1649;Malpartida de las Alas, Juan;Impresso en Ézija por Iuan Malpartida de las Alas;Écija;;;1649;Spanish;Prose;5033276;Madrid, Biblioteca Nacional de España VC/56/186;http://bdh-rd.bne.es/viewer.vm?id=0000107809&page=1;;;;;;;;
P-1649-SE-0132;1649 Seville Plague;Vizcarreto y Luján, Francisco;;;Prodigio de la providencia de Dios, en el miserable caso del contagio de Sevilla, por el licenciado D. Francisco Vizcarreto y Luxán;Rodríguez de Ábrego, Nicolás;Por Nicolás Rodríguez de Ábrego;Seville;;;1650;Spanish;Prose;5012053;Madrid, Biblioteca Nacional de España 7/15958;;;;;Foto Schiano;;;;
P-1650-CU-0133;1650 Cuzco Earthquake;Unknown;;;Relación del temblor, y terremoto que Dios nuestro señor fue servido de embiar a la ciudad del Cuzco a 31 de março este año passado de 1650, iueves a las dos de la tarde: con particulares misericordias suyas, como se experimentaron en el tiempo de su mayor ruina. Dase cuenta de las asperíssimas penitencias públicas, que las religiones hazían por las calles, en procesión, moviendo a edificación al más endurecido pecho;Paredes, Julián de;Por Iulián de Paredes, impressor de libros, véndese en su casa, en la calle de la Concepción Gerónima;Madrid;;;1651;Spanish;Prose;5029329;Madrid, Biblioteca Nacional de España MSS/2382(H.302R.-303V.);http://bdh-rd.bne.es/viewer.vm?id=0000255001&page=1;P-1650-CU-0632 / 1650 Cuzco Earthquake / Verdadera relacion del gran temblor y terremoto que Dios N. Señor fue servido de embiar a la ciudad del Cuzco, a 31 del mes de marzo Iueves a las dos de la tarde con particulares misericordias suyos, como se experimentaron en el tiempo de su mayor ruyna (Very similar to);;;;;;;
P-1650-CU-0632;1650 Cuzco Earthquake;Unknown;;;Verdadera relacion del gran temblor y terremoto que Dios N. Señor fue servido de embiar a la ciudad del Cuzco, a 31 del mes de marzo Iueves a las dos de la tarde con particulares misericordias suyos, como se experimentaron en el tiempo de su mayor ruyna;Carderón, Bernardo (Widow of);Por la Biuda de Bernardo Calderón, en la calle de San Agustín;Mexico City;;;1650;Spanish;Prose;;Puebla, Universidad Autónoma, Biblioteca Especial 'José María Lafragua' (Fondo Antiguo).  34889_09-41040104;https://memoricamexico.gob.mx/swb/memorica/Cedula?oId=_0MriHsB-BK7IK019rdM;P-1650-CU-0133 / 1650 Cuzco Earthquake / Relación del temblor, y terremoto que Dios nuestro señor fue servido de embiar a la ciudad del Cuzco a 31 de março este año passado de 1650, iueves a las dos de la tarde: con particulares misericordias suyas, como se experimentaron en el tiempo de su mayor ruina. Dase cuenta de las asperíssimas penitencias públicas, que las religiones hazían por las calles, en procesión, moviendo a edificación al más endurecido pecho (Very similar to);;;;;;;
P-1650-CU-063E;1650 Cuzco Earthquake;Córdoba y Salinas, Diego de;Dirigida a / la Catolica Magestad  de Don Felipe IIII N. S. rey potentissimo de las / Espanas, y Monarca invictissimo del Nuevo Orbe, en su Real y Supremo Consejo de / Indias;Philip IV;Coronica / de la religiosissima provincia de los doze apostoles del Peru, de la orden de / N.P. S. Francisco  de la regular observancia [...];López de Herrera, Jorge;Por Jorge López de Herrera;Lima;On pp. 644 and 645, Córdoba y Salinas reports on the duration of the earthquake and the emotions it provoked in the population. He describes the acts of public penitence carried out by the secular and ecclesiastical chapter and by the various religious orders. The earthquake is presented as one of the omens heralding the Last Judgement.;;1651;Spanish;Prose;;Madrid, Biblioteca Nacional de España R/14078;http://bdh-rd.bne.es/viewer.vm?id=0000015363&page=1;;;;;;;;
P-1650-CU-0650;1650 Cuzco Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de / los ermitaños de San Agustin Nuestro Padre [...];Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;On page 641, the friar tells that the earthquake destroyed the augustinian convent of Cuzco.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;;;;;
P-1651-MU-0134;1651 Murcia Flood;Villacís, Pedro de;Illustrissimo Señor Don Iuan Francisco Pacheco, Dean y Canonigo de la Santa Iglesia de Iaen, Sumiller de Cortina de su Magestad, Electo Obispo de Cordova;Pacheco, Juan Francisco;Copia de una carta que escrivió don Pedro Villacís, beneficiado, y cura propio de la parroquial de Torre Pacheco, para el illustríssimo señor Don Iuan Francisco Pacheco, Deán y Canónigo de la Santa Iglesia de Iaén, sumiller de Cortina de su Magestad, electo obispo de Córdova. Refiere la inundación de Murcia, ruyna de sus edificios, pérdida de sus haziendas;Unknown;Unknown;Murcia;;;1651;Spanish;Prose;Null;Santiago de Compostela, Biblioteca de la Catedral de Santiago de Compostela 4155;;;CBDRS 0002202;;;;;;
P-1651-MU-0135;1651 Murcia Flood;Unknown;;;Avenida grande en Murcia, y relación copiosa de las muertes perdidas, y daños de su inundación. Es carta de un religioso capuchino, para otro de esta ciudad;Lyra, Francisco Ignacio de;Por Francisco Ignacio de Lyra;Seville;;;1651;Spanish;Prose;Null;Seville, Biblioteca Capitular y Colombina 61-5-8--059;https://www.bidiso.es/CBDRS/upload/ejemplares/2066/digitalizado/201711171224__61-5-8%20(%20signatura%20antigua_1_%2063-2-30)---059.pdf;;CBDRS 0000632;;;;;;
P-1653-MU-0136;1653 Murcia Flood;Unknown;;;Relación de la grande inundación, que el río de Segura ha hecho en la ciudad de Murcia, y otros lugares de aquel reyno: sucedida desde el miércoles cinco de noviembre, hasta el viernes siete del dicho mes, año de 1653;Bolívar, Baltasar de;Baltasar de Bolívar;Granada;;;1653;Spanish;Prose;Null;Madrid, Biblioteca Nacional de España VC/56/89;;;;;Foto Schiano;;;;
P-1654-CM-0137;1654 Ciociaria Earthquake;Unknown;;;Vera relatione del terremoto successo in Terra di Lavoro, con la desolatione di molte terre. A 24 de Luglio 1654;Cicconio, Ettore;Per Ettorre Cicconio;Naples;;;1654;Italian;Prose;Null;London, British Library General Reference Collection 444.c.41.(2.);https://books.google.fr/books?vid=BL:A0020642252&redir_esc=y;"I-1654-CM-02C4 / 1654 Ciociaria and Marsica Earthquake / Immaculate Conception; Crucifixion (This document includes)";;;;;;;
P-1655-LI-0138;1655 Lima Earthquake;Echave y Assu, Francisco de;A nuestro Santissimo, y Beatissimo Padre INNOCENCIO XI;Innocenzo XI;"La estrella de Lima convertida en sol sobre sus tres coronas el B. Toribio Alfonso Mogrobexo su segundo arzobispo: celebrado con epitalamios sacros, y solembes cultos, por su esposa la santa iglesia metropolitana de Lima, al activo, y soberano influxo del ex.mo e ill.mo señor doct. D. Melchor de Liñán y Cisneros, obispo antes de las iglesias de Santa Marta, y Payán; presidente, governador, y capitán general del Nuevo Reyno de Granada, y visitador de su Real Audiencia; arçobispo de los Charcas, y actual arçobispo (octavo en orden) de la santa iglesia de Lima; Virrey, Governador, y capitán general, que ha sido de los reynos del Perú, Tierra-firme, y Chile. Descripción sacro política de las grandezas de la ciudad de Lima, y compendio histórico eclesiástico de su santa iglesia metropolitana: que descrive D. Francisco de Echave y Assu, cavallero del orden de Santiago, corregidor del Cercado de Lima por su magestad, y consagra a nuestro santíssimo, y beatíssimo Padre Innocencio XI";Verdussen, Juan Baptista;Por Juan Baptista Verdussen;Antwerp;;;1688;Spanish;Prose;Null;Los Angeles, Getty Research Institute SPECIAL COLLECTIONS 94-B21535;https://archive.org/details/laestrelladelima00echa/page/n5/mode/2up;;p. 171: Lima earthquake of 1655 and penances ordered by the Archbishop [Pedro de Villagómez];;;;;;
P-1655-LI-0651;1655 Lima Earthquake;Torres, Bernardo de;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de los / ermitaños de San Agustin Nuestro Padre [...];Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;The author refers to how the earthquake forced the demolition of the houses that had been left standing but in poor condition. The earthquake also caused damage to the three Augustinian convents in Lima, which at the time Torres' work was published had not yet been completely repaired.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;;;;;
P-1656-NA-0139;1656 Naples Plague;de' Rossi, Antonio;;;"Descrive la peste di contagio, che nel 1656 afflisse il Regno di Napoli, e gran parte dell'Italia; Sonetti del sign. Antonio de' Rossi";Mollo,  Roberto;per gli Eredi di Roberto Mollo;Naples;;;1661;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 113 B 36 (0008);https://play.google.com/books/reader?id=FXdoIzudzkwC&hl=it&pg=GBS.PP1;;La pagina recante il sonetto è indicata come 12.;;;;;;
P-1656-NA-013A;1656 Naples Plague;Cappella, Prospero;Ad P. Hieronymum Cattaneum Soc. Jesu;Cattaneo, Geronimo;"Felix in epidemiam antidotum; Prosperi Cappellae Aversani Odarum libri 6. et Epodoni";Castaldo, Salvatore;Apud Castaldum Regium Typographum;Naples;;;1682;Italian;Verse;Null;Madrid, Biblioteca de la Universidad Complutense de Madrid BH FLL 16144;https://play.google.com/books/reader?id=UUYQkjPAQmgC&hl=it&printsec=frontcover;;Le pagine recanti l'ode sono indicate come 72-75.;;Foto raccolte ad uso privato.;;;;
P-1656-NA-013B;1656 Naples Plague;Muscettola, Antonio;;Saint Rocco;"Per S. Rocco in occasione di pestilentia; Poesie di d. Antonio Muscettola";Cavallo, Camillo;Per gli eredi di Camillo Cavallo;Naples;;;1659;Italian;Verse;Null;Naples, Biblioteca della Società Napoletana di Storia Patria VOLPICELLA 10. 94;;;Le pagine recanti la canzone sono indicate come 189-193.;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;pdf MEGA<br><br>trascritti solo i primi 15 vv.;;;;
P-1656-NA-013C;1656 Naples Plague;Valentino, Giovanni Battista;;;Seconda reale impressione di Napoli Scontrafatto dopo la peste di Gio. Battista Valentino con la giornata di molte ottave con diligenza corretta et alcuni sonetti dal istesso autore, fatti in diverse occorrenze e tempi;Pace, Francesco;Per Francesco Pace;Naples;;;1674;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III L.P. Terza Sala 24. 01. 24;;I-1656-NA-02C6 / 1656 Naples Plague / Emblem (This document includes);;;;;;;
P-1656-NA-013D;1656 Naples Plague;Pasquale, Nicolò;;;A' posteri della peste di Napoli, e suo regno nell'anno 1656. Dalla redentione del mondo racconto dato à luce per opera di Nicoló Pasquale della città di Capua;di Fusco, Luca Antonio;Per Luc' Antonio di Fusco;Naples;;;1668;Italian;Prose;Null;Rome, Biblioteca Nazionale Centrale 34. 7.C.32.1;https://books.google.es/books?id=IDM1gZMr-tkC&hl=ca&source=gbs_navlinks_s;I-1656-NA-02C7 / 1656 Naples Plague / Immaculate Conception (This document includes);;;Il testo è inserito due volte perché comprende due diversi disastri.;;;;
P-1656-NA-013E;1656 Naples Plague;Meninni, Federigo;;Sebasto, Niceforo;"Canzone nel tempo della peste di Napoli; Delle poesie di Federigo Meninni";di Fusco, Luca Antonio;Per Luca Antonio di Fusco;Naples;;;1669;Italian;Verse;Null;Unknown ;;;;;;;;;
P-1656-NA-013F;1656 Naples Plague;Lubrano, Giacomo;;Fiorilli, Carlo;"Ode In lode del padre Carlo Fiorilli gesuita, espostosi al servigio degli appestati; Scintille poetiche, o poesie sacre, e morali, di Paolo Brinacio napoletano";Poletti, Andrea;Ad istanza di Andrea Poletti;Venice;;;1692-9-6;Italian;Verse;Null;Munich, Bayerische Staatsbibliothek (ex Bibliotheca Regia Monacensis), BSB / Außenmagazin P.o.it. 209;;;p. 130;;;;;;
P-1657-CO-0652;1657 Concepción Earthquake;;Dedicada a N. Muy R. P. Maestro fray Iuan del / Alamo dignissimo Prior Provincial de dicha Provincia;Álamo, Juan del;Cronica de la provincia peruana de la orden de los / ermitaños de San Agustin Nuestro Padre [...];Santos de Saldaña, Juan;en la imprenta de Iulian Santos de Saldaña;Lima;On pages 659-660, Torres narrates how, at the time his work was being printed, news had arrived from Chile of the earthquake and tsunami that had devastated the city of Concepcion and had also been felt in Santiago de Chile, where the cathedral collapsed. Few people died, only the most fragile, such as some old people and children. The tsunami ruined the royal storehouses where papers, weapons and supplies were kept. The tragedy was all the greater because it coincided with the rebellion of the Indians, which was put down by the Count of Alba, Viceroy of Peru, and by the governor.;;1657;Spanish;Prose;;Providence, John Carter Brown Library 1-SIZE BA657.T693c;https://archive.org/details/cronicadelaproui00torr;;;;;;;;
P-1659-CA-061F;1659 Calabria Earthquake;;;;Copia d'una lettera scritta da Monsignor Vescovo di Catanzaro in Calabria al M.R.P. Asistente d'Italia di S. Agostino in Roma, in ragguaglio delli terremoti che sono stati in Calabria alli 6 di novembre 1659;Monti, Giacomo;per Giacomo Monti;"Bologna; Rome";;Rome;1660;Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 39r-42v;;;;;"foto Matteo; identificare l'autore della lettera per poterlo inserire in Autore_Milena";;;;
P-1659-SM-0140;1659 San Miguel Eruption;Unknown;;;Relación verdadera del prodigioso volcán de fuego, que exala en medio del mar Océano, enfrente de la Isla de San Miguel, una de las Terceras, y nueva Isla, que se ha formado, donde se declara los terremotos, y fracasos que sucedieron, el qual tuvo principio en tres de iulio del año passado de 1659;Fernández de Buendía, José;Por Ioseph Fernández de Buendía;Madrid;;;1660;Spanish;Prose;;Madrid, Biblioteca Nacional de España VE/15/16;http://bdh-rd.bne.es/viewer.vm?id=0000255918&page=1;;;;;;;;
P-1660-TE-0141;1660 Tevere Flood;de' Rossi, Antonio;;"Saint Peter; Saint Januar";"Incendio del Vesuvio e inondazione del Tevere, occorsi nello stesso anno, il 1660; Sonetti del sig. Antonio de' Rossi";Mollo,  Roberto;Per gli Eredi di Roberto Mollo;Naples;;;1661;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 113 B 36 (0008);https://play.google.com/books/reader?id=FXdoIzudzkwC&hl=it;;La pagina recante il sonetto è indicata come 14.;COMUNITÀ/ EFFETTI SOCIALI→Manifestazioni di devozione e pentimento;Foto raccolta ad uso privato.;;;;
P-1660-VE-0142;1660 Vesuvius Eruption;[Zupi, Giovanni Battista];;Filomarino, Ascanio;Continuatione de’ successi del prossimo incendio del Vesuvio, con gli effetti della cenere, e pietre da quello vomitate, e con la dichiaratione, & espressione delle croci maravigliose apparse in varii luoghi dopo l’incendio;"Paci, Giovan Francesco; Tarino, Giovanni Alberto";"per Giovanni Francesco Paci; Giovanni Alberto Tarino (autore della lettera di dedica)";Naples;;;1661;Italian;Prose;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III RACC.VILL. Misc. 16.03;;I-1660-VE-02D4 / 1660 Vesuvius Eruption / Rain of Crosses (This document includes);Giovanni Alberto Tarino è il firmatario della lettera di dedica: penso sia l'editore. Nella lettera prefatoria viene detto chiaramente che si riprende un altro testo, ma non si cita il nome dell'autore. Per fonti indirette sono risalita a G..B. Zupi;;;;;;
P-1660-VE-0143;1660 Vesuvius Eruption;[Crescenzi, Alessandro];;Carpano, Giuseppe;Giornale dell’incendio dell’ Vessuvio dell’anno MDCLX con le osservationi matematiche. Al molto illustre e molte eccell. Sig. mio padrone osservandissimo il Sig. D. Giuseppe Carpano, dottore dell’una e l’altra legge, e nella Sapienza di Roma primario professore;de' Lazzari, Ignatio;Ignatio de’ Lazari;Rome;;;1660;Italian;Prose;Null;Naples, Biblioteca della Società Napoletana di Storia Patria SIS61846.06E.021;;;;;London, British Library, 444.b.49._da consultare (Milena?);;;;
P-1660-VE-0144;1660 Vesuvius Eruption;Unknown;;Unknown;Principio, e progressi del fuoco del Vesuvio osservati giorno per giorno dalli tre fin’alli venticinque di luglio in quest’anno 1660 et esposti alla curiosità de’ forestieri;Unknown;Unknown;Unknown;;;[1660];Italian;Prose;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III RACC.VILL. Misc. 16.09;;;;;;;;;
P-1660-VE-0145;1660 Vesuvius Eruption;de' Rossi, Antonio;;;"Descrive l'incendio del Vesuvio seguitò sotto li 3. di luglio 1660; Sonetti del sig. Antonio de' Rossi";Mollo,  Roberto;per gli Eredi di Roberto Mollo;Naples;;;1661;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 113 B 36 (0008);https://play.google.com/books/reader?id=FXdoIzudzkwC&hl=it;;La pagina recante il sonetto è indicata come 13.;;;;;;
P-1660-VE-0146;1660 Vesuvius Eruption;de' Rossi, Antonio;;"Saint Peter; Saint Januar";"Incendio del Vesuvio e inondazione del Tevere, occorsi nello stesso anno, il 1660; Sonetti del sig. Antonio de' Rossi";Mollo,  Roberto;per gli Eredi di Roberto Mollo;Naples;;;1661;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 113 B 36 (0008);https://play.google.com/books/reader?id=FXdoIzudzkwC&hl=it;;La pagina recante il sonetto è indicata come 14.;;;;;;
P-1660-VE-0147;1660 Vesuvius Eruption;Cusano, Biagio;;Milano, Giacomo;"Per lo sangue di San Gennaro che bolle racchiuso in vaso di vetro; Poesie sagre";Passaro, Giacinto;Giacinto Passaro;Naples;;;1672;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 112 I 63;;;;TOPOI DELLA NARRAZIONE→Miracoli, prodigi, Interventi soprannaturali;;;;;
P-1660-VE-0148;1660 Vesuvius Eruption;Cusano, Biagio;;Milano, Giacomo;"Per lo sangue bogliente del medesimo santo, liberator di Napoli dall’incendio del Vesuvio; Poesie sagre";Passaro, Giacinto;Giacinto Passaro;Naples;;;1672;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 112 I 63;;;;;;;;;
P-1660-VE-0149;1660 Vesuvius Eruption;Cusano, Biagio;;Milano, Giacomo;"Mentre nella festa della Madonna Santissima del Carmelo l’incendio del Vesuvio minacciava rovine priegossi la Vergine che ne liberasse Napoli; Poesie sagre";Passaro, Giacinto;Giacinto Passaro;Naples;;;1672;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 112 I 63;;;;;;;;;
P-1660-VE-014A;1660 Vesuvius Eruption;Cusano, Biagio;;Milano, Giacomo;"Le reliquie del glorioso martire San Gennaro riparano Napoli del fuoco del Vesuvio; Poesie sagre";Passaro, Giacinto;Giacinto Passaro;Naples;;;1672;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 112 I 63;;;;;;;;;
P-1660-VE-05E3;1660 Vesuvius Eruption;Unknown;;;Relatione e curioso racconto del nuovo incendio del Vesuvio cavato da diffusa relatione venuta da Napoli;Monti, Giacomo;Per Giacomo Monti;"Bologna; Rome; Rimini";;"Rome;Rimini";[1660];Italian;Prose;;Bologna, Biblioteca Universitaria TAB I F II 424, 1-32, cc. 138r-141v;;I-1660-VE-061C / 1660 Vesuvius Eruption / A tree (This document includes);;;;;;;
P-1660-VU-014B;1660 Volturno Flood;Zito, Vincenzo;;;"A l'inondazione del Vulturno. Bella donna gode cantando; Poesie liriche";de Bonis, Novello;Per Novello de Bonis;Naples;;;1669;Italian;Verse;Null;Naples, Biblioteca Nazionale Vittorio Emanuele III V.F. 112 G 76;;;La pagina recante il sonetto è usurata sul numero.;;da decidere se schedare l'antiporta. Mile;;;;
P-1661-MA-014C;1661 Malaga Flood;Unknown;;;Relación verdadera, donde se da cuenta de la inundación de la ciudad de Málaga el dia 22 de septiembre deste años de 1661;Paredes, Julián de;Por Iulián de Paredes, impressor de libros, en la plaçuela del Ángel;Madrid;;;1661;Spanish;Prose;Null;Madrid, Biblioteca Nacional de España VE/59/69;http://bdh-rd.bne.es/viewer.vm?id=0000259337&page=1;M-1661-MA-054D / 1661 Malaga Flood / Report on the flooding of the city of Malaga on September 22nd of 1661 [manuscript version] (This document contains a translation of);;;Foto Schiano;;;;
P-1661-MA-0557;1661 Malaga Flood;Unknown;;Unknown;Gazeta Nueva de las Sucesos políticos y militares de la mayor parte de Europa hasta fin de septiembre de 1661 (n. 11);Paredes, Julián de;Con licencia en Madrid por Iulián de Paredes, impressor de libros en la Plaçuela;"Madrid; Malaga";Correspondence from Málaga;Malaga;1661;Spanish;Prose;;Madrid, Hemeroteca Municipal A.H.13/4 (2364);http://www.memoriademadrid.es/buscador.php?accion=VerFicha&id=283228&num_id=1&num_total=3;;;;;;;;
P-1661-MA-0558;1661 Malaga Flood;Unknown;;Unknown;Gazeta /   Nueva de las Sucesos políticos y militares de la mayor parte de Europa hasta /   fin de septiembre de 1661 (n. 11);Gómez de Blas, Juan;Con licencia, impresso en Sevilla por Juan Gomez de Blas, impressor mayor de dicha ciudad.;"Seville; Malaga";Correspondence from Malaga, 1661.09.27;Malaga;1661;Spanish;Prose;;Madrid, Hemeroteca Municipal F.24/9(97);http://www.memoriademadrid.es/buscador.php?accion=VerFicha&id=320632&num_id=4&num_total=15;P-1661-MA-0579 / 1661 Malaga Flood / Breve copia de el estrago lastimoso que hizo en la ciudad de Málaga la inundación del río Guadalmedina, en veinte y dos de septiembre de este año de 1661 (This document contains a translation of);;;;;;;
P-1661-MA-0563;1661 Malaga Flood;Unknown;;Pérez de Guzmán el Bueno, Gaspar Juan Alonso;Relación verdadera del diluvio y ruina de la ciudad de Málaga, enviada al Excelentísimo Duque de Medina Sidonia, a Valladolid;Ybar, Juan de;Por Iuan de Ybar, en la Calle de la Cuchillería;"Zaragoza; Valladolid";;Valladolid;1661;Spanish;Prose;;Malaga, Archivo Histórico Municipal Fondo Antiguo, BM 24/85;http://archivomunicipal.biblioteca.malaga.eu/cgi-bin/opac/O7002/IDf12f8661?MLKOB=17437835352;;;;;;;;
P-1661-MA-0579;1661 Malaga Flood;Unknown;;Unknown;Breve copia de el estrago lastimoso que hizo en la ciudad de Málaga la inundación del río Guadalmedina, en veinte y dos de septiembre de este año de 1661;López Hidalgo, Mateo;Impressa en Málaga, por Mateo López Hidalgo, Impressor de la Santa Iglesia Catedral.;Malaga;;;1661;Spanish;Prose;;Granada, Universidad de Granada, Biblioteca del Hospital Real  BHR/A-031-130 (69);https://digibug.ugr.es/bitstream/handle/10481/12429/a-031-130%20%2869%29.pdf?sequence=1&isAllowed=y;"P-1661-MA-0558 / 1661 Malaga Flood / Gazeta
  Nueva de las Sucesos políticos y militares de la mayor parte de Europa hasta
  fin de septiembre de 1661 (n. 11) (The content of this document is translated in)";;;;;;;
